Subject,Epoch,State,Epoch_Index,Window_Index,Time_s,Log10_Delta_Power,Log10_Theta_Power,Log10_Alpha_Power,Log10_Beta_Power,Log10_Gamma_Power
10,10_0,Focus,0,0,0.5,-10.968678932805787,-11.479743180393182,-11.754957585271786,-12.28592617280799,-13.031067333766842
10,10_0,Focus,0,1,1.0,-11.11196441068927,-11.756320113268082,-11.84211461921721,-12.321708867828526,-13.052636263441604
10,10_0,Focus,0,2,1.5,-10.9575860100562,-11.908527332312248,-12.186499411381089,-12.37649791738992,-12.985515553367309
10,10_0,Focus,0,3,2.0,-10.885735641188282,-11.645156828506703,-12.201727115140265,-12.459765530753833,-13.044518585575366
10,10_0,Focus,0,4,2.5,-11.154128255070539,-11.658084620201599,-12.30624001101665,-12.394555623934437,-13.030372407384844
10,10_0,Focus,0,5,3.0,-11.164574981055148,-12.014126691579312,-11.77721522250541,-12.588452544913228,-12.854680265206794
10,10_0,Focus,0,6,3.5,-11.108297607236619,-11.694387507385164,-11.863681669537161,-12.3330254869304,-12.949007867065223
10,10_0,Focus,0,7,4.0,-11.09167823983086,-11.80432728948632,-12.006108881913022,-12.383596994154702,-13.14367987256105
10,10_0,Focus,0,8,4.5,-11.183368389866269,-11.672123337506036,-11.885110410168648,-12.543241812457362,-13.039606982721207
10,10_1,Focus,1,0,0.5,-10.879384631278057,-11.713637703940542,-11.654969103346273,-12.486127709709516,-12.969576174536666
10,10_1,Focus,1,1,1.0,-10.861272741986932,-11.629378847249413,-11.563080794907574,-12.426206869339934,-12.920650203493327
10,10_1,Focus,1,2,1.5,-11.078288436971453,-11.779746668987867,-11.898863028826142,-12.470535833549684,-13.000043500668157
10,10_1,Focus,1,3,2.0,-11.102924074816595,-11.707797167165038,-12.02334444618834,-12.491802668870982,-12.94977019069877
10,10_1,Focus,1,4,2.5,-10.856809805885534,-12.014568053016992,-11.569375931494308,-12.507473473005543,-12.952272541486888
10,10_1,Focus,1,5,3.0,-10.989060688725502,-11.776182667336311,-11.861169374788071,-12.485811192799058,-13.006986224284455
