Subject,Epoch,State,Mean_log10_power,N_Windows,Slope_log10_power_per_second
1,1_0,Focus,-11.10984370277806,9,-0.34098584106047997
1,1_1,Focus,-11.34468249138585,9,-0.27542350810991073
1,1_10,Focus,-11.451759413221346,9,0.01566778116531493
1,1_11,Focus,-11.694014930679284,9,-0.014681898793584992
1,1_12,Focus,-11.235476868391267,9,-0.22381924480681448
1,1_13,Focus,-11.72529895180747,9,0.020604255223527778
1,1_14,MW,-11.502106872841225,8,0.08690042473076177
1,1_15,Focus,-11.509939780984231,9,0.05088363411339257
1,1_16,MW,-11.548218866299045,8,-0.11866357571753361
1,1_17,Focus,-11.474871511453683,9,0.13657334667142948
1,1_18,Focus,-11.280278696040337,9,-0.08573373813264004
1,1_19,Focus,-11.645692481440856,9,0.04675453065013699
1,1_2,MW,-11.19061823251496,8,0.24568526484874675
1,1_20,Focus,-11.495359482207201,9,-0.09241270179577046
1,1_21,Focus,-11.520490622892677,9,0.18447095480569398
1,1_22,Focus,-11.511344779791143,9,-0.22814264891209754
1,1_23,Focus,-11.681900805636632,9,0.018876442240830803
1,1_24,MW,-11.080241397551868,8,0.44519836216590175
1,1_25,Focus,-11.482074774217928,9,0.020159571051744332
1,1_26,Focus,-11.55564601792556,9,0.06249734146997794
1,1_27,MW,-11.468053116942583,8,-0.1896720965793701
1,1_28,Focus,-11.437254652375413,9,-0.09454595520729658
1,1_29,Focus,-11.108745877008609,9,-0.13242671853477642
1,1_3,Focus,-11.436791516544766,9,0.024211912936570042
1,1_30,Focus,-11.880624754141408,9,0.0580862169323017
1,1_31,Focus,-11.78096425890563,9,0.1159352038357328
1,1_32,Focus,-11.656554479622296,9,-0.09292571191101141
1,1_33,MW,-11.46864167354276,8,0.3351404010029642
1,1_34,Focus,-11.68119614429527,9,8.799072110350684e-06
1,1_35,Focus,-11.677682982909582,9,-0.11071640558514653
1,1_36,Focus,-11.558281382074382,9,-0.09664754046475661
1,1_37,Focus,-11.694970965949535,9,-0.009988082435735268
1,1_38,Focus,-11.706695597848785,9,-0.017358130982737616
1,1_39,Focus,-11.60580991936435,9,-0.15470957864047685
1,1_4,Focus,-11.395128511538806,9,0.034775722302901595
1,1_5,MW,-11.71613974500469,8,0.005249262933803197
1,1_6,Focus,-11.510901833070072,9,0.06250280970010445
1,1_7,Focus,-11.537295295334214,9,-0.03996893721319991
1,1_8,MW,-11.590316266981564,8,0.189885988947314
1,1_9,MW,-11.656396814121043,8,-0.0025595191438970567
10,10_0,Focus,-11.069556940866553,9,-0.045938728329812974
10,10_1,Focus,-11.010717709943753,9,-0.05292018743482084
10,10_10,Focus,-11.082198273841836,9,-0.048290588029994884
10,10_11,Focus,-11.255667003986282,9,0.005970022002466386
10,10_12,Focus,-11.12174416249055,9,0.024263898978217627
10,10_13,Focus,-11.036109664760453,9,-0.022632672185011388
10,10_14,MW,-11.290718967653248,8,-0.043559938036356625
10,10_15,MW,-10.998547538759384,8,-0.09931652877051017
10,10_16,Focus,-11.028966273405644,9,-0.001069546995497908
10,10_17,MW,-11.047378989064523,8,-0.039057747827012
10,10_18,Focus,-11.206174587461769,9,0.03948044971427327
10,10_19,MW,-11.125011470319627,8,0.005785591866108907
10,10_2,Focus,-10.74884936068687,9,0.027937929421600397
10,10_20,Focus,-11.13782308589414,9,-0.009234480959533652
10,10_21,Focus,-11.17281503934784,9,-0.06470271802070716
10,10_22,Focus,-11.075243402111939,9,-0.041043646436964426
