Subject,Epoch,State,Mean_log10_power,N_Windows,Slope_log10_power_per_second
1,1_0,Focus,-13.061522887300292,9,-0.00017050353443958825
1,1_1,Focus,-13.037851380164085,9,-0.0036164348069770936
1,1_10,Focus,-12.898039106494132,9,-0.0202962081481672
1,1_11,Focus,-12.980596013461907,9,0.0024831475387966607
1,1_12,Focus,-12.82324582377677,9,-0.0028376231963616215
1,1_13,Focus,-13.089801102238381,9,-0.027681855896095786
1,1_14,MW,-12.87397469540749,8,-0.0727769682010689
1,1_15,Focus,-12.85426847995965,9,-0.002447075349995513
1,1_16,MW,-12.930899643650724,8,-0.0009907412575827859
1,1_17,Focus,-13.041170371801915,9,0.01976721969022756
1,1_18,Focus,-13.086748513015836,9,0.01238424968396147
1,1_19,Focus,-13.145758519114635,9,-0.011133462150426697
1,1_2,MW,-13.068359162218794,8,-0.0004317781072945175
1,1_20,Focus,-13.209464465121414,9,-0.007245014630856307
1,1_21,Focus,-13.036774955269035,9,0.00817233821233649
1,1_22,Focus,-13.082150267716132,9,0.00687234663131499
1,1_23,Focus,-13.145783382989439,9,-0.01577027701471894
1,1_24,MW,-12.69452284292726,8,0.04347717853696589
1,1_25,Focus,-12.760279751002807,9,0.0016404183616795143
1,1_26,Focus,-12.984903232916299,9,0.003240467242535914
1,1_27,MW,-12.85305288160254,8,-0.012151637769962205
1,1_28,Focus,-13.13089092279727,9,-0.047582080344940214
1,1_29,Focus,-12.650079382419051,9,-0.03165536031681684
1,1_3,Focus,-12.673408107510873,9,-0.03317442467305533
1,1_30,Focus,-12.674644569147087,9,0.014346839582196583
1,1_31,Focus,-12.617338330304397,9,0.018757332365403723
1,1_32,Focus,-12.94389435082494,9,0.001246084962107432
1,1_33,MW,-12.84515346944836,8,0.04730440027252848
1,1_34,Focus,-13.074943061974775,9,0.010229015377720505
1,1_35,Focus,-12.89217182376382,9,0.009536929543343778
1,1_36,Focus,-12.803051972801997,9,-0.008346486227728699
1,1_37,Focus,-13.274866774313736,9,-0.020226768321176262
1,1_38,Focus,-13.192782523022025,9,0.0003799803014125739
1,1_39,Focus,-13.004061815254468,9,0.009431157412903726
1,1_4,Focus,-12.863368259644309,9,-0.012236610664142953
1,1_5,MW,-13.062955854920052,8,0.017855455584823314
1,1_6,Focus,-12.59003897709649,9,-0.02142522287969496
1,1_7,Focus,-12.969735049236947,9,0.013500468631279716
1,1_8,MW,-12.964672895822982,8,0.012863707228108007
1,1_9,MW,-12.846460019807196,8,-0.010286709931426821
10,10_0,Focus,-13.014565014565584,9,-0.0014811910067674594
10,10_1,Focus,-12.960886566927421,9,0.0019578619740434258
10,10_10,Focus,-13.159407514352967,9,-0.011711186878983792
10,10_11,Focus,-13.283686990623975,9,0.007375289673705767
10,10_12,Focus,-13.13087389846618,9,-0.03327687710821934
10,10_13,Focus,-13.144993222838233,9,0.02303919476592767
10,10_14,MW,-13.12903717366672,8,-0.051959548668250255
10,10_15,MW,-13.184950606993109,8,0.03191895025420833
10,10_16,Focus,-13.182395081135674,9,-0.02015848228663837
10,10_17,MW,-13.18324566085831,8,0.02168762709162867
10,10_18,Focus,-13.261132730819703,9,0.015404935639276886
10,10_19,MW,-13.185797984505514,8,-0.01316840029674606
10,10_2,Focus,-13.016632942776326,9,-0.011585597675319673
10,10_20,Focus,-13.258678877230956,9,0.024107514560211898
10,10_21,Focus,-13.136419495687173,9,-0.027320116671769794
10,10_22,Focus,-13.18813024725365,9,-0.08045627721804123
10,10_23,Focus,-13.227953346382305,9,-0.02259093050235812
10,10_24,Focus,-13.239174029339662,9,0.03644711257640668
10,10_25,Focus,-13.261669280719353,9,-0.022261765612762087
10,10_26,Focus,-13.202615000486757,9,-0.010421557865044187
10,10_27,MW,-13.286002495193125,8,0.014927704180121317
10,10_28,Focus,-13.241083358599552,9,0.009109151241321748
10,10_29,Focus,-12.460902143926637,9,-0.07681551613901981
10,10_3,Focus,-13.04619740693568,9,-0.006882002903503885
10,10_30,Focus,-12.33877672536088,9,0.024064951821687473
10,10_31,Focus,-12.301859595727736,9,-0.041458483213674666
10,10_32,Focus,-12.30039771348005,9,-0.020317420221669893
10,10_33,Focus,-12.332551865842326,9,-0.0005283387868519188
10,10_34,Focus,-12.324642463014127,9,0.012893897718717342
10,10_35,Focus,-12.348901963949864,9,0.0049730415579844
10,10_36,Focus,-12.559310423493733,9,-0.012029736570695485
10,10_37,Focus,-12.582061242442027,9,-0.008241266159940898
10,10_38,Focus,-13.046478228223053,9,0.007121617376479968
10,10_39,Focus,-13.046401894263619,9,-0.004555259128003258
10,10_4,MW,-13.198211314284709,8,-0.015122330615063318
10,10_5,MW,-13.082733879886925,8,0.04454032403385221
10,10_6,Focus,-13.13261449814533,9,-0.02164537876628164
10,10_7,Focus,-13.200885805355593,9,-0.011480639472644475
10,10_8,Focus,-13.234931243763889,9,-0.021235283167576818
10,10_9,Focus,-13.13070394984411,9,-0.003413929477030469
11,11_0,Focus,-12.440163938803304,9,-0.03227112583251083
11,11_1,Focus,-12.681089549073961,9,-0.0035184198821837606
11,11_10,MW,-12.858212852720339,8,-0.0023147111617124057
11,11_11,Focus,-12.94968578589314,9,0.0005163153089727878
11,11_12,Focus,-12.796263387727338,9,0.02937510966194062
11,11_13,MW,-12.89182082849791,8,0.01873900769757748
11,11_14,MW,-12.878044019987628,8,-0.014172140582910117
11,11_15,MW,-12.998089410425504,8,0.039169468075213563
11,11_16,MW,-12.976338252270022,8,0.023118122306272325
11,11_17,Focus,-12.840778566748359,9,0.014744496872095439
11,11_18,Focus,-12.876888624922376,9,-0.011657961937189647
11,11_19,MW,-12.841903776707507,8,0.035124476602566485
11,11_2,MW,-12.89539705487173,8,-0.005533802239702293
11,11_20,MW,-12.98942328288552,8,0.03397197789670216
11,11_21,MW,-13.010931011118716,8,0.0021645266919393565
11,11_22,MW,-12.961970326033006,8,0.015456938576293522
11,11_23,MW,-13.031084068292802,8,-0.023340143814090306
11,11_24,MW,-12.986939166338281,8,0.02278845120589792
11,11_25,MW,-12.831580929346245,8,-0.01825867026182532
11,11_26,Focus,-12.884411330917237,9,-0.007244127116885715
11,11_27,MW,-12.788839539105801,8,-0.005147320769354625
11,11_28,Focus,-12.774014595319011,9,-0.02377018019296157
11,11_29,Focus,-12.858789103697942,9,-0.009657060130563692
11,11_3,Focus,-12.895567050741299,9,-0.0019469554025457292
11,11_30,MW,-12.700203045821967,8,-0.011443455768473082
11,11_31,MW,-12.780523806272768,8,-0.004663229569636271
11,11_32,MW,-13.004305354856253,8,0.034300129401992896
11,11_33,MW,-12.861228850156845,8,-0.0035430547173092
11,11_34,Focus,-12.740701485647953,9,0.0027576749677975586
11,11_35,MW,-12.818030409270673,8,-0.008859861047148625
11,11_36,Focus,-12.866197192546657,9,0.016524200113898255
11,11_37,MW,-12.83595402271978,8,-0.02085017498708155
11,11_38,Focus,-12.846660980403788,9,0.03791443185537948
11,11_39,Focus,-12.703074408460497,9,-0.005139868306708442
11,11_4,Focus,-12.710529099452849,9,-0.004065023802669211
11,11_5,MW,-12.776763511691541,8,0.008750920113110789
11,11_6,MW,-12.8782386717062,8,-0.008198328630376926
11,11_7,MW,-12.93984902837324,8,-0.004959991848279182
11,11_8,Focus,-12.938326155094122,9,0.01127999820299794
11,11_9,MW,-12.923116827421481,8,-0.014191293100853253
12,12_0,Focus,-12.922841260936838,9,0.023772632872652442
12,12_1,Focus,-13.036754963847,9,-0.0034465185201211605
12,12_10,Focus,-13.044250582348932,9,0.02255270661857186
12,12_11,Focus,-12.984891884234193,9,0.016278414495637224
12,12_12,MW,-13.021827715604008,8,0.005965862975752607
12,12_13,Focus,-13.149004388929145,9,-0.031161996584204956
12,12_14,Focus,-13.017537719787779,9,-0.03449555737328655
12,12_15,Focus,-13.031286202794444,9,0.01857290305654372
12,12_16,Focus,-13.021755386917476,9,-0.00878959609900055
12,12_17,MW,-13.02758920618942,8,-0.015244483177093386
12,12_18,Focus,-12.908678298526796,9,-0.02295518586941254
12,12_19,MW,-13.084286851423968,8,-0.011718069874820741
12,12_2,Focus,-13.071582940422422,9,0.04633092627846115
12,12_20,Focus,-13.030863420545979,9,0.017975653727295256
12,12_21,Focus,-13.052150162706408,9,0.0049602862341238665
12,12_22,Focus,-13.041696344250548,9,-0.014480724513906798
12,12_23,MW,-13.044790416709818,8,-0.026658501850810225
12,12_24,Focus,-13.047056788966385,9,-0.011578677189377972
12,12_25,MW,-13.116034866937678,8,-0.001327197018142866
12,12_26,MW,-13.19464855655244,8,0.04822047829106136
12,12_27,Focus,-13.031874614653354,9,0.029083380203024443
12,12_28,Focus,-13.19433564512978,9,-0.028119748818109726
12,12_29,Focus,-13.129970816533472,9,-0.005098327722107886
12,12_3,Focus,-12.950837662748102,9,-0.011602846055806892
12,12_30,Focus,-13.196418792668348,9,0.03816181279737226
12,12_31,MW,-13.151468215503431,8,-0.03808770241667894
12,12_32,Focus,-13.187083152556353,9,0.05133961340825792
12,12_33,Focus,-13.200735301324205,9,-0.014187053632432282
12,12_34,MW,-13.167421423079452,8,-0.08108362566525991
12,12_35,MW,-13.304343153324353,8,-0.011963047708623184
12,12_36,MW,-13.324744756181579,8,0.011187949448314341
12,12_37,MW,-13.287890353392527,8,-0.08281109605227636
12,12_38,Focus,-13.151470475755335,9,-0.0068200574934678205
12,12_39,Focus,-13.110872120651955,9,-0.009232428789500981
12,12_4,Focus,-13.034631522960263,9,-0.020897408470191434
12,12_5,Focus,-12.8860762962338,9,0.013830440050067217
12,12_6,Focus,-12.995564672206099,9,0.0459129265081224
12,12_7,Focus,-13.036549524938883,9,-0.011739146445958713
12,12_8,Focus,-12.710850336437083,9,0.02799065924407271
12,12_9,Focus,-12.985626008250234,9,-0.03399237359883456
13,13_0,Focus,-13.043258746736798,9,0.017949656736526542
13,13_1,Focus,-13.002931817674797,9,0.004845740115637279
13,13_10,Focus,-13.016767434013348,9,0.0020743036460602023
13,13_11,Focus,-12.968134651406858,9,0.0030234483834101016
13,13_12,Focus,-13.037417012779015,9,0.00905465803726836
13,13_13,Focus,-13.009743474991012,9,0.013845048029255352
13,13_14,MW,-12.936671261444342,8,-0.025066110546129627
13,13_15,Focus,-12.907245909949104,9,-0.04389275919175407
13,13_16,MW,-13.0280288130902,8,0.040371320375385565
13,13_17,Focus,-12.92000379961149,9,0.02760406981210277
13,13_18,Focus,-12.976245376167874,9,-0.010345717173309147
13,13_19,Focus,-13.015777836287139,9,-0.017326643622815358
13,13_2,Focus,-13.04767744681561,9,-0.009059590878618306
13,13_20,Focus,-13.037327862827967,9,0.008465811743240901
13,13_21,Focus,-13.156918659035682,9,0.012415355658190786
13,13_22,MW,-13.193203706678087,8,-0.014226471575651163
13,13_23,Focus,-13.130535616961124,9,0.04383524755771811
13,13_24,Focus,-13.093301289304339,9,-0.010465932550440881
13,13_25,MW,-13.10013473919997,8,-0.03015337285820904
13,13_26,MW,-12.702734167988446,8,0.023837392639609496
13,13_27,MW,-12.612436352976005,8,-0.03647656433144398
13,13_28,Focus,-12.77283069864517,9,-0.026758028144336223
13,13_29,Focus,-12.557786511583126,9,0.11155105149918347
13,13_3,MW,-13.078432825238501,8,-0.06308444929965452
13,13_30,Focus,-12.650996686366966,9,0.01629843674835074
13,13_31,MW,-12.80752062031295,8,-0.0024549481393414
13,13_32,MW,-12.720746290500474,8,-0.03471431606290856
13,13_33,Focus,-12.640031673328934,9,-0.030574843696274074
13,13_34,Focus,-12.537624725453867,9,-0.005891823569068044
13,13_35,Focus,-12.590183582738213,9,-0.0037668570439433257
13,13_36,MW,-12.922133584272366,8,-0.010918171817626913
13,13_37,Focus,-12.734296353399044,9,0.024713750586806853
13,13_38,Focus,-12.661678678546275,9,0.015926047895711264
13,13_39,MW,-12.768485512789521,8,0.018910130656341447
13,13_4,Focus,-13.060549249273349,9,0.02734066311237842
