Subject,Epoch,State,Mean_log10_power,N_Windows,Slope_log10_power_per_second
1,1_0,Focus,-11.933733489836962,9,-0.1633953061914396
1,1_1,Focus,-12.126593162031249,9,-0.07439108692525903
1,1_10,Focus,-12.124385128023075,9,-0.0004646576885200754
1,1_11,Focus,-12.120095763825987,9,-0.05001679749915817
1,1_12,Focus,-12.083057386341189,9,-0.028725211099096943
1,1_13,Focus,-12.176341362579885,9,0.01746138202175238
1,1_14,MW,-12.175745390867359,8,0.07180916906659365
1,1_15,Focus,-12.15770069448951,9,0.03307542345057556
1,1_16,MW,-12.184938940488436,8,-0.11688022745141673
1,1_17,Focus,-12.13863909210685,9,-0.030767978571218598
1,1_18,Focus,-12.146865479677409,9,-0.021028411432614465
1,1_19,Focus,-12.216245040573845,9,0.07126808132518953
1,1_2,MW,-11.97957258501858,8,0.10004865207447636
1,1_20,Focus,-12.15834665873412,9,-0.04454753721186323
1,1_21,Focus,-12.116884872328527,9,0.07735812548192664
1,1_22,Focus,-12.206676947332916,9,-0.003586609828259839
1,1_23,Focus,-12.208893167617733,9,0.02535843859484463
1,1_24,MW,-12.077762601831102,8,0.037610853521330485
1,1_25,Focus,-12.2097387287491,9,0.03929945020437427
1,1_26,Focus,-12.181911847733618,9,-0.06570768189467195
1,1_27,MW,-12.245812010959202,8,0.03115810979860824
1,1_28,Focus,-12.173256663797595,9,-0.03681332114272338
1,1_29,Focus,-12.100774712216921,9,0.01501665725813825
1,1_3,Focus,-12.036734564843805,9,0.12526907418780572
1,1_30,Focus,-12.284744315793866,9,0.1209388055049333
1,1_31,Focus,-12.262259503131029,9,-0.08645912106628897
1,1_32,Focus,-12.282348244465357,9,0.004954544745094954
1,1_33,MW,-12.202145281444697,8,0.09705736195251485
1,1_34,Focus,-12.148720153941232,9,-0.019211665205607076
1,1_35,Focus,-12.130760195740093,9,-0.0745178977017354
1,1_36,Focus,-12.143819484688679,9,-0.006553918554349449
1,1_37,Focus,-12.341426985850697,9,0.017463908784293228
