Band,Analysis,Estimate,SE,z,CI_95_low,CI_95_high,p_value,Statistical_decision_alpha_0.05
Delta,MW minus Focus mean power,0.09479278505143085,0.0559336768484515,1.694735450849503,-0.014837221571534082,0.20442279167439578,0.0901256173877037,Not statistically significant
Delta,Focus change over time,-0.002190766631902148,0.0036699016563285043,-0.5969551331503161,-0.009383773878306016,0.00500224061450172,0.5505373362212606,Not statistically significant
Delta,MW change over time,0.005277933211656586,0.005218686101417093,1.0113528786917083,-0.0049506915471209155,0.015506557970434088,0.3118475657172397,Not statistically significant
Theta,MW minus Focus mean power,0.08159007689653566,0.060510905439046164,1.348353264664383,-0.03701129776399481,0.20019145155706614,0.17754478799431117,Not statistically significant
Theta,Focus change over time,-0.002334967471863599,0.0032135776047666717,-0.7265943938618946,-0.008633579577206275,0.003963644633479078,0.46747446352403976,Not statistically significant
Theta,MW change over time,0.005420317034373143,0.004631126215136545,1.1704101297557337,-0.0036566903472944846,0.01449732441604077,0.24183596111719263,Not statistically significant
Alpha,MW minus Focus mean power,-0.11128099515086323,0.08649678099375528,-1.2865333700556703,-0.2808146858986236,0.05825269559689711,0.19825698047973828,Not statistically significant
Alpha,Focus change over time,-0.0032391851258079755,0.004201333446171126,-0.7709897743917465,-0.011473798680303382,0.004995428428687431,0.4407129926690767,Not statistically significant
Alpha,MW change over time,0.005889585569250844,0.007721542256398306,0.762747307944932,-0.009244637253289835,0.02102380839179152,0.44561411108300886,Not statistically significant
Beta,MW minus Focus mean power,-0.04942004416827073,0.06463036623564739,-0.7646567247983923,-0.1760955619901396,0.07725547365359814,0.44447598163207014,Not statistically significant
Beta,Focus change over time,-6.662318499141284e-06,0.0019224464851667327,-0.0034655417201709337,-0.0037746574294259374,0.003761332792427655,0.9972349033014509,Not statistically significant
Beta,MW change over time,-0.003719998057988291,0.003601055775792418,-1.0330298361373476,-0.01077806737854143,0.003338071262564848,0.30158993624334285,Not statistically significant
Gamma,MW minus Focus mean power,-0.032201576116647035,0.07410958153856108,-0.4345129934365065,-0.17745635593222675,0.11305320369893268,0.6639159614282291,Not statistically significant
Gamma,Focus change over time,-0.0007224277149511646,0.001730712532321362,-0.4174163539349831,-0.004114624278301034,0.002669768848398705,0.6763738949478368,Not statistically significant
Gamma,MW change over time,0.000816760472929264,0.001861986783129843,0.4386499841617342,-0.002832733622005228,0.004466254567863756,0.6609151731380263,Not statistically significant
