Subject,Epoch,State,Epoch_Index,Window_Index,Time_s,Log10_Delta_Power,Log10_Theta_Power,Log10_Alpha_Power,Log10_Beta_Power,Log10_Gamma_Power
10,10_0,Focus,0,0,0.5,-10.925330326162602,-11.503758359438038,-11.813531329159737,-12.209975418237482,-13.127977753916825
10,10_0,Focus,0,1,1.0,-11.08212928547397,-11.820022982035798,-11.911772936164247,-12.256999538269353,-13.124783681093431
10,10_0,Focus,0,2,1.5,-10.932108871888085,-11.958513958951835,-12.246473428432523,-12.424159259642497,-13.040212814548083
10,10_0,Focus,0,3,2.0,-10.804188771390088,-11.761508907951177,-12.230944394641071,-12.46968732218886,-13.084498768895322
10,10_0,Focus,0,4,2.5,-11.104875772790814,-11.667414262448654,-12.359260798771519,-12.47364269047885,-13.098757763240698
10,10_0,Focus,0,5,3.0,-11.09502872340611,-12.049445882328767,-11.876012751076164,-12.537320974196332,-12.925023680681992
10,10_0,Focus,0,6,3.5,-11.03438738920976,-11.768270160506189,-11.919179955327563,-12.258063179816814,-12.998212331738548
10,10_0,Focus,0,7,4.0,-11.054262411502393,-11.843901358514634,-12.033449555383202,-12.34903007045282,-13.201215442075004
10,10_0,Focus,0,8,4.5,-11.121052748851593,-11.685216188594115,-11.942311162977813,-12.517462964525361,-13.043589167591328
10,10_1,Focus,1,0,0.5,-10.751185476408788,-11.724452595771147,-11.767269386423685,-12.461836332928984,-13.063430411291804
10,10_1,Focus,1,1,1.0,-10.755194690522016,-11.666789018239418,-11.586082763573787,-12.424934767145738,-12.945128144573541
10,10_1,Focus,1,2,1.5,-11.053068981816484,-11.784348551409057,-11.956875265070035,-12.514259235904035,-13.056269713039327
10,10_1,Focus,1,3,2.0,-11.130009388028903,-11.711372415569341,-12.112758298260268,-12.458892664633035,-12.964982193960504
10,10_1,Focus,1,4,2.5,-10.746030011350438,-12.033385129905684,-11.670051971265314,-12.489714988302325,-13.04051293901945
10,10_1,Focus,1,5,3.0,-10.97682160772203,-11.810190220096612,-11.96047340835912,-12.4510971931219,-13.040928836113839
