Subject,Epoch,State,Mean_log10_power,N_Windows,Slope_log10_power_per_second
1,1_0,Focus,-12.335831632606777,8,0.010730346813320088
1,1_1,Focus,-12.249359957449759,8,-0.07126783031914012
1,1_10,Focus,-12.291418983403208,8,0.01636659497542999
1,1_11,Focus,-12.251686055754723,8,-0.07477551989156607
1,1_12,Focus,-12.283312249117534,8,-0.0010068570632160866
1,1_13,Focus,-12.29996730712312,8,0.035791276017990765
1,1_14,MW,-12.371926188204526,8,-0.00791176408830711
1,1_15,Focus,-12.302587051365457,8,-0.008547177082170296
1,1_16,MW,-12.348060358264178,8,-0.12873252591047651
1,1_17,Focus,-12.247369974798708,8,-0.045063151809594706
1,1_18,Focus,-12.246986170145036,8,0.007725772817875262
1,1_19,Focus,-12.35677749032946,8,0.05280880599111094
1,1_2,MW,-12.275209937385117,8,-0.004231223460343397
1,1_20,Focus,-12.31710268813407,8,-0.05143993495307868
1,1_21,Focus,-12.273766092321551,8,0.06235699851462991
1,1_22,Focus,-12.339026880895332,8,-0.004672124166637443
1,1_23,Focus,-12.345286546026749,8,-0.023072250503587844
1,1_24,MW,-12.444774988495695,8,-0.019033047699302995
1,1_25,Focus,-12.376221391108682,8,0.04619788627976152
1,1_26,Focus,-12.33006089707919,8,-0.08698693508133216
1,1_27,MW,-12.40265297495716,8,0.06720722388268824
1,1_28,Focus,-12.396915848608185,8,0.05271483238590473
1,1_29,Focus,-12.311414480598156,8,0.01611553241835012
1,1_3,Focus,-12.285435317569068,8,0.024432560852759865
1,1_30,Focus,-12.432060660853743,8,0.0690892209470588
1,1_31,Focus,-12.384576782697605,8,-0.09043135333261934
1,1_32,Focus,-12.420789145538794,8,-0.03381748906404197
1,1_33,MW,-12.389496186808334,8,0.12095630517590364
1,1_34,Focus,-12.264656652430716,8,-0.008888597326526106
1,1_35,Focus,-12.245337808476108,8,-0.06008843571653257
1,1_36,Focus,-12.293125904037307,8,-0.0072804450381252685
1,1_37,Focus,-12.42105826755921,8,0.05586898397659622
1,1_38,Focus,-12.338829229555063,8,0.013807907449350374
1,1_39,Focus,-12.254198336422114,8,-0.021757342940751642
1,1_4,Focus,-12.289146113840783,8,-0.047534524117649746
1,1_5,MW,-12.257475353099519,8,0.027887702434569665
1,1_6,Focus,-12.232285851383589,8,0.019580684107814845
1,1_7,Focus,-12.220101833934311,8,0.010238102810964985
1,1_8,MW,-12.270326004322573,8,0.01909663355901831
1,1_9,MW,-12.282606446998837,8,0.11321889492187005
10,10_0,Focus,-11.80629950281885,8,-0.047793668870461034
10,10_1,Focus,-11.797286953112476,8,0.013153855787265774
10,10_10,Focus,-11.90884465273636,8,-0.05323140949495545
10,10_11,Focus,-11.914498451532378,8,0.026102793070756754
10,10_12,Focus,-11.896596802634708,8,0.03566735594397872
10,10_13,Focus,-11.704463778172027,8,-0.15722130720566366
10,10_14,MW,-12.013019983198237,8,0.011119973195918745
10,10_15,MW,-11.819233189601404,8,-0.04536547171598739
10,10_16,Focus,-11.793302236104962,8,0.0482910057910878
10,10_17,MW,-12.003033379109663,8,0.017595117085273403
10,10_18,Focus,-11.877842133909375,8,-0.020727418095403367
10,10_19,MW,-11.936368527750975,8,-0.01766041942749089
10,10_2,Focus,-11.733454512926684,8,0.028144569338815213
10,10_20,Focus,-11.935939751158674,8,0.08887133677935467
10,10_21,Focus,-11.956025097069219,8,-0.060982720497041384
10,10_22,Focus,-11.875030590555376,8,-0.06322491492865676
10,10_23,Focus,-11.94099186437213,8,-0.01969975905226958
10,10_24,Focus,-11.871827843088907,8,-0.03173036693759998
10,10_25,Focus,-11.998504974134523,8,-0.0072272732690935055
10,10_26,Focus,-11.761630571023192,8,0.1620443126016288
10,10_27,MW,-11.924320883422183,8,-0.015332528859390463
10,10_28,Focus,-11.983458961564352,8,0.006380713553614511
10,10_29,Focus,-11.968403628371451,8,0.08021235031714512
10,10_3,Focus,-11.824747012775278,8,0.013729640868570795
10,10_30,Focus,-11.93706763004738,8,0.02317877545950058
10,10_31,Focus,-11.654722977484603,8,-0.09999139731066042
10,10_32,Focus,-11.994831384731581,8,0.023742172471917636
10,10_33,Focus,-11.862825841906497,8,-0.017713930382489366
10,10_34,Focus,-11.798779605857877,8,-0.18312752011172764
10,10_35,Focus,-11.914211419901342,8,-0.03975838210868335
10,10_36,Focus,-11.691109332392811,8,-0.13037185205322088
10,10_37,Focus,-11.897509645553844,8,0.07690500039020867
10,10_38,Focus,-11.903343318677797,8,0.04410316423578904
10,10_39,Focus,-11.967920567600338,8,0.010189955680135063
10,10_4,MW,-11.92246225346187,8,-0.04656953134533576
10,10_5,MW,-11.929847465757277,8,0.011108234945489126
10,10_6,Focus,-11.803136873530002,8,-0.04545633932407231
10,10_7,Focus,-11.961825239359339,8,0.0205182592249128
10,10_8,Focus,-11.748025962770503,8,-0.19517789283592313
10,10_9,Focus,-11.60937597552487,8,-0.11588045311682994
11,11_0,Focus,-12.238092431512904,8,0.11175012918246957
11,11_1,Focus,-12.379529430125274,8,0.04927406722601442
11,11_10,MW,-12.135301736611734,8,0.05675212210903672
11,11_11,Focus,-12.36010133184121,8,0.0475928630009978
11,11_12,Focus,-12.21364005498169,8,-0.0874927618364142
11,11_13,MW,-12.048875687323504,8,0.10276315133381683
11,11_14,MW,-11.92379762259862,8,-0.16076032349141187
11,11_15,MW,-11.990345308573065,8,0.046936035417773116
11,11_16,MW,-12.124875155983123,8,-0.021224189305295675
11,11_17,Focus,-12.11483503986663,8,0.06599530085617451
11,11_18,Focus,-11.917829194227807,8,0.09941967693448614
11,11_19,MW,-12.133158686269551,8,-0.02617625167578059
11,11_2,MW,-12.11100478698401,8,-0.012896399100815614
11,11_20,MW,-11.771849758697167,8,-0.08186518383480168
11,11_21,MW,-11.889883293963315,8,0.03672725296180914
11,11_22,MW,-11.593899704625787,8,-0.13771830365603382
11,11_23,MW,-11.721363976314198,8,0.14661970715005163
11,11_24,MW,-11.722186186240979,8,0.06606591446301469
11,11_25,MW,-11.737565991268486,8,-0.014738496030682132
11,11_26,Focus,-12.173642362141731,8,0.07509898046435085
11,11_27,MW,-12.12282382210763,8,0.03433375905186704
11,11_28,Focus,-12.370861016775908,8,-0.04676838607840692
11,11_29,Focus,-12.28256883583224,8,-0.07220166257668056
11,11_3,Focus,-12.022169450534872,8,-0.006607003188902482
11,11_30,MW,-12.082484533781308,8,0.06447522094874772
11,11_31,MW,-11.929076303603875,8,-0.012494551299515416
11,11_32,MW,-11.85765884201216,8,0.030413380113546346
11,11_33,MW,-11.740229104807527,8,0.04746350794532696
11,11_34,Focus,-11.991684034835952,8,0.059583778671555065
11,11_35,MW,-11.871543759550274,8,-0.06608917131945692
11,11_36,Focus,-11.937754721658028,8,-0.11996822458611937
11,11_37,MW,-12.251384005771685,8,0.07068690464094299
11,11_38,Focus,-11.84289025549023,8,-0.061566421463223754
11,11_39,Focus,-12.273401954422223,8,0.02700888832758297
11,11_4,Focus,-12.370753884138168,8,-0.05088794882330011
11,11_5,MW,-12.276314278074402,8,-0.05784076007654897
11,11_6,MW,-12.247407764102524,8,0.13084514666939304
11,11_7,MW,-12.109842951452379,8,-0.05395416873637804
11,11_8,Focus,-12.180304550369922,8,-0.028066237166761494
11,11_9,MW,-12.13664920438256,8,0.10421291342387472
12,12_0,Focus,-12.130501134964366,8,0.07880306060384
12,12_1,Focus,-12.084112656374062,8,0.017023387662032922
12,12_10,Focus,-12.243719432853347,8,-0.02241780433522316
12,12_11,Focus,-12.209761784656122,8,0.052854315577924804
12,12_12,MW,-11.910637492479465,8,0.07569228250157088
12,12_13,Focus,-11.980525771946596,8,-0.007220218637916025
12,12_14,Focus,-11.92542541837794,8,-0.019390495356712216
12,12_15,Focus,-12.102020795398643,8,0.04982798997809749
12,12_16,Focus,-12.006020022841277,8,0.01859061662404219
12,12_17,MW,-11.986092344656011,8,0.06664649258551886
12,12_18,Focus,-12.154952883455845,8,0.08454668064156577
12,12_19,MW,-11.78670340276398,8,-0.029947269200925473
12,12_2,Focus,-12.13621294395995,8,-0.0008488659011674654
12,12_20,Focus,-12.1168073637634,8,0.07157124367448511
12,12_21,Focus,-12.05765965978736,8,0.13171009170148498
12,12_22,Focus,-11.93968589486786,8,0.012032115248193349
12,12_23,MW,-11.800637970761482,8,0.06600316237260968
12,12_24,Focus,-12.089997031119147,8,0.037739796485216776
12,12_25,MW,-11.823385822847886,8,0.03518936671645218
12,12_26,MW,-11.920858591145151,8,0.0708140340296471
12,12_27,Focus,-12.141493509951626,8,0.07371457876949761
12,12_28,Focus,-11.962592457665355,8,-0.005952015845551413
12,12_29,Focus,-12.044809110462305,8,-0.0759424569591318
12,12_3,Focus,-12.074143476164053,8,-0.06211330936409158
12,12_30,Focus,-11.889122853726123,8,-0.1694365282979106
12,12_31,MW,-11.973518035028725,8,0.021305042403990452
12,12_32,Focus,-11.852878871401881,8,-0.07539617931557903
12,12_33,Focus,-11.785343674513113,8,-0.09372273421134261
12,12_34,MW,-11.949005648488031,8,0.07068241640935106
12,12_35,MW,-11.5797256757438,8,-0.11888265954293027
12,12_36,MW,-11.799508899129092,8,0.02736683610725694
12,12_37,MW,-11.790194361830423,8,-0.022950095209810457
12,12_38,Focus,-12.04525081964241,8,0.0027301395077197147
12,12_39,Focus,-11.954032526538821,8,-0.0005586504316468635
12,12_4,Focus,-12.168677694971795,8,-0.000956696097841961
12,12_5,Focus,-12.133992104299669,8,0.031673396506928464
12,12_6,Focus,-12.294040983056476,8,-0.026760663856152497
12,12_7,Focus,-12.173197503326257,8,-0.03953667463127929
12,12_8,Focus,-12.266509779097127,8,-0.04742860756720222
12,12_9,Focus,-12.012287881478848,8,-0.08554576065245026
13,13_0,Focus,-12.178201379078757,8,-0.0013746078895572795
13,13_1,Focus,-12.07229518266546,8,0.08733574418557984
13,13_10,Focus,-11.965834136441359,8,0.005243902651045323
13,13_11,Focus,-12.216435403340524,8,-0.004786943898168088
13,13_12,Focus,-12.007804817180869,8,0.06831564376136433
13,13_13,Focus,-11.854770118894413,8,-0.04880815308576542
13,13_14,MW,-11.614403106948654,8,0.06224648509642842
13,13_15,Focus,-12.132554146310106,8,0.05128248082440979
13,13_16,MW,-11.967174470842124,8,0.11235574828979118
13,13_17,Focus,-12.191107047221134,8,-0.060979697551511475
13,13_18,Focus,-12.056755843576237,8,-0.04990333487206694
13,13_19,Focus,-12.070057008874116,8,-0.05453141414607048
13,13_2,Focus,-12.14329114360169,8,-0.001779658191605392
13,13_20,Focus,-12.002781668904383,8,-0.05224381123414197
13,13_21,Focus,-11.924178486228703,8,-0.0268402374085244
13,13_22,MW,-11.974580417052582,8,0.07654807517665589
13,13_23,Focus,-12.021778428369299,8,-0.12700795200107787
