Feature,Importance
C3_Theta_Rel,0.00671905187098471
T3_Theta_Rel,0.005669657097880011
Fp2_Gamma_Rel,0.0055566650402775345
Cz_Beta_Abs,0.005154981770605745
O1_Theta_Rel,0.005143851267994986
T3_Beta_Rel,0.005115654007269711
F4_Theta_Rel,0.0049720840062210435
Pz_Theta_Rel,0.004957873750442403
P4_Theta_Rel,0.004761991908073179
P3_Theta_Rel,0.004683919117649487
Fp1_Delta_Rel,0.004669375492379765
T3_Gamma_Rel,0.004445785183738508
T4_Theta_Rel,0.00441779029953376
Fp2_Delta_Rel,0.004245690773367058
Fp2_Gamma_Abs,0.004225687901755645
O2_Theta_Rel,0.004146939833326794
T4_Beta_Rel,0.004105095799327881
T4_Gamma_Rel,0.004091818650561801
T5_Theta_Rel,0.003931303510501697
F3_Delta_Rel,0.003909024489009499
F3_Theta_Rel,0.0038003051690568535
Fz_Delta_Rel,0.003800304889145521
C3_Gamma_Rel,0.0037984389462805013
T6_Theta_Rel,0.0037922969952495257
Fp2_Theta_Rel,0.0037570709007247946
Cz_Theta_Abs,0.00374778998369891
T4_Delta_Rel,0.0037239294092399023
Cz_Theta_Mean,0.0036988239489684147
T3_Delta_Rel,0.0036493756815588994
P3_Beta_Rel,0.0035801041579785644
C4_Theta_Rel,0.0035617614292990448
C3_Gamma_Abs,0.0035481049992502544
O1_Theta_Abs,0.003539571963225331
Fz_Gamma_Abs,0.0035131252637322086
Fz_Alpha_Rel,0.0035092556318573197
Cz_Beta_Rel,0.0035024027227942406
T3_Gamma_Abs,0.0035001979426973777
T5_Delta_Rel,0.0034893561109132797
O2_Delta_Rel,0.0034687870800405437
Pz_Beta_Rel,0.0034653999550905553
C3_Beta_Rel,0.003436014340626224
Cz_Gamma_Abs,0.003435776204743431
O2_Delta_Abs,0.00343264723522829
Fp1_Gamma_Rel,0.0034254726920096516
C4_Gamma_Rel,0.003421838897973308
Pz_Theta_Mean,0.0034105921124270152
T6_Gamma_Rel,0.00340892237524205
T5_Gamma_Rel,0.0034077811293085807
O2_Gamma_Rel,0.003395992818855209
Cz_Delta_Abs,0.0033952265844734283
F4_Delta_Rel,0.0033582027760782488
O1_Theta_Mean,0.00335304630044052
F3_Delta_Abs,0.003339859144151622
F8_Delta_Rel,0.0033306228163024186
T6_Gamma_Abs,0.00332357228819326
T4_Beta_Abs,0.0033211770518515294
T5_Gamma_Abs,0.0033204081701774042
C3_Beta_Abs,0.0033180716272147486
C3_Delta_Rel,0.003307110653505857
Fz_Theta_Rel,0.003306576639950033
F3_Theta_Abs,0.0033039189705380443
T5_Alpha_Rel,0.0032740670958132717
C3_Alpha_Mean,0.0032672734795402094
Fp1_Theta_Rel,0.003262882948198055
O2_Theta_Mean,0.0032622191242205043
T3_Beta_Abs,0.0032446631726852594
C4_Gamma_Abs,0.0032393324339800617
F8_Theta_Rel,0.003235328916296667
T4_Gamma_Abs,0.0032294841590343095
Cz_Theta_Var,0.0032219852321365506
Fp1_Alpha_Rel,0.003206438800764572
O2_Gamma_Abs,0.0031856764193405667
O1_Gamma_Abs,0.003185399121878811
Cz_Alpha_Rel,0.0031778405724181913
Fp2_Beta_Rel,0.003167307119931436
Pz_Delta_Rel,0.0031542118979098785
T6_Alpha_Rel,0.0031507723704070037
T5_Beta_Rel,0.0031395372685750315
T6_Alpha_Mean,0.0031376305067891868
F3_Alpha_Rel,0.00313463334451196
O1_Delta_Rel,0.003133229056080703
Cz_Theta_Rel,0.003126083800779921
C4_Theta_Mean,0.003120346034161596
O2_Alpha_Rel,0.00311841822736714
P3_Delta_Rel,0.0031105255292538134
F7_Delta_Rel,0.003099480191666841
Fp2_Beta_Abs,0.0030976470260001268
F8_Theta_Mean,0.0030809766624394636
F7_Gamma_Rel,0.0030779820143749244
O1_Gamma_Rel,0.0030633110914707615
F7_Gamma_Abs,0.0030608508419173656
P4_Beta_Rel,0.003032145927510968
F3_Beta_Rel,0.003029224887008777
C4_Alpha_Mean,0.0030230634068005987
P4_Theta_Mean,0.0030150726155860246
Cz_Gamma_Rel,0.003011210140579966
O2_Envelope_Sync,0.0029923172461080332
Fp2_Alpha_Rel,0.002987784227733357
O2_Theta_Abs,0.0029781938654325356
F8_Theta_Abs,0.002978172034201628
Fp1_Delta_Abs,0.0029565445975527687
O1_Theta_Var,0.002943691759499293
Fp1_Gamma_Abs,0.0029418081091234986
O2_Alpha_Mean,0.0029384535191457894
F8_Gamma_Abs,0.002936834188218437
F8_Gamma_Rel,0.002936127513658608
F4_Gamma_Rel,0.002930490318656249
Pz_Theta_Abs,0.0029197228856561383
F4_Gamma_Abs,0.0029164536961079697
Fp2_Delta_Abs,0.0029105163845521706
Fz_Beta_Abs,0.00290549797587237
T5_Beta_Abs,0.002891482016118616
C4_Beta_Abs,0.002889985517518704
Fp2_Alpha_Mean,0.0028827063550828217
P4_Delta_Rel,0.002863870015802838
F7_Theta_Rel,0.0028625085943226884
C3_Alpha_Rel,0.002862385804115493
F8_Beta_Rel,0.002858351815541745
P4_Beta_Abs,0.0028558551032063185
T6_Beta_Abs,0.0028552772148396736
Cz_Delta_Rel,0.0028446335402557495
F4_Beta_Rel,0.0028357878197532885
T4_Alpha_Rel,0.002833235555876363
Pz_Beta_Abs,0.0028254524571099207
F3_Theta_Mean,0.0028221002317265456
T3_Alpha_Rel,0.0028159764158546194
Fp1_Beta_Rel,0.002810493171999808
Pz_Gamma_Abs,0.0028076528511332003
O2_Theta_Var,0.002807279785248394
O1_Alpha_Rel,0.0028012550449557044
P3_Alpha_Rel,0.0027896918343791413
P3_Delta_Abs,0.00278903299176179
P4_Theta_Abs,0.002784074396322298
F7_Beta_Abs,0.002782579325145081
T6_Delta_Rel,0.002782201917810359
F8_Delta_Abs,0.0027797525531617013
F3_Gamma_Abs,0.002775709927479875
O2_Beta_Rel,0.0027676618248703246
T6_Theta_Mean,0.0027661741696689566
F7_Alpha_Mean,0.002757306334778023
T4_Alpha_Mean,0.0027533148589654003
P3_Alpha_Mean,0.0027422406840582835
O2_Beta_Abs,0.0027336872435422053
Cz_Alpha_Mean,0.0027332005118262523
F8_Alpha_Rel,0.002731952429160999
Pz_Alpha_Rel,0.0027303596905228537
C3_Theta_Abs,0.0027125215685976007
O1_Beta_Rel,0.002692197900580393
F4_Alpha_Rel,0.0026851886897344608
F8_Beta_Abs,0.002683972913356808
F4_Delta_Abs,0.0026813705458445134
Fp1_Beta_Abs,0.002679530320731444
Fp2_Theta_Abs,0.0026783640396816633
C4_Alpha_Rel,0.002669837533529055
Fp1_Theta_Abs,0.0026670239729442743
F8_Theta_Var,0.00266528099995092
Pz_Gamma_Rel,0.0026637668155414947
T3_Theta_Mean,0.0026610566347438306
Pz_Envelope_Sync,0.0026598348699204367
O1_Beta_Abs,0.002659376811432792
C4_Delta_Rel,0.0026592897679869913
C4_Theta_Abs,0.002652247897287469
P3_Theta_Mean,0.0026510892682358816
Fz_Theta_Abs,0.0026499978966683106
Fz_Alpha_Mean,0.00264812822957015
F3_Gamma_Rel,0.002644426573799097
T3_Alpha_Mean,0.002641805155705898
Pz_Alpha_Mean,0.002639382516077138
Fz_Theta_Mean,0.0026371241677855943
Fz_Beta_Rel,0.0026368884909655104
T6_Envelope_Sync,0.0026367676255978733
P4_Alpha_Mean,0.002635682679941433
T5_Alpha_Mean,0.002634623493088031
P3_Beta_Abs,0.0026304205189891473
C4_Beta_Rel,0.0026245461516474482
O1_Alpha_Mean,0.0026225467624756147
Cz_Alpha_Abs,0.002620912849969352
T6_Delta_Abs,0.0025921163547685
F4_Beta_Abs,0.002588969189808222
P3_Gamma_Abs,0.0025883087104863573
Pz_Theta_Var,0.0025801856387814488
T3_Alpha_Var,0.002578975169211105
T4_Theta_Mean,0.0025762247254220603
P4_Alpha_Rel,0.002571188328970487
C3_Theta_Mean,0.002568897439421618
T3_Theta_CV,0.002567513249576363
T3_Envelope_Sync,0.0025670879118287063
C4_Alpha_Abs,0.0025649485666377862
C4_Envelope_Sync,0.002564495740436345
Fz_Alpha_Abs,0.0025626191573147102
F8_Envelope_Sync,0.0025619537938235807
T3_Delta_Abs,0.0025605692288469925
T5_Delta_Abs,0.0025558003448941827
F7_Envelope_Sync,0.002554070409001551
O1_Delta_Abs,0.0025505552249459567
F7_Theta_Mean,0.002546190527175876
T4_Delta_Abs,0.002541876578428973
T5_Theta_Mean,0.0025335243400815286
O1_Envelope_Sync,0.0025255541876703477
F4_Theta_Abs,0.0025252225782531564
F7_Theta_Var,0.002523926708003362
C3_Theta_Var,0.0025212176257729084
P3_Gamma_Rel,0.002517863234452248
F3_Theta_CV,0.0025114827198855633
Pz_Delta_Abs,0.0025113236976522344
Fz_Delta_Abs,0.002508136423143245
T6_Alpha_Var,0.0025061731545429956
Fp2_Envelope_Sync,0.0025045798758509493
T5_Alpha_Abs,0.002502577455326705
T4_Alpha_Var,0.002500506348728283
T6_Beta_Rel,0.002498828142977979
F7_Theta_CV,0.00249234054178772
T6_Theta_CV,0.0024918839625020692
P4_Theta_CV,0.00249187808079709
P4_Gamma_Abs,0.0024915846849008477
P4_Gamma_Rel,0.0024842306978419145
F3_Theta_Var,0.002474395934786873
C3_Delta_Abs,0.0024738100086144836
Cz_Theta_CV,0.002472078215953586
F4_Envelope_Sync,0.002470824878831726
P4_Alpha_Abs,0.0024677389625108333
P4_Theta_Var,0.002467041849780041
T6_Alpha_CV,0.002466972699034358
T6_Theta_Abs,0.0024655460483683916
F4_Theta_Mean,0.002463878574394543
Fz_Envelope_Sync,0.002461155177378523
F3_Beta_Abs,0.0024600597630801413
Fp1_Theta_CV,0.0024522177823265265
T3_Theta_Var,0.002446466383106177
T6_Alpha_Bursts,0.0024422642772452935
C3_Alpha_Abs,0.0024416616088901648
P4_Envelope_Sync,0.0024404657065787137
Cz_Alpha_Var,0.0024385162013231217
T5_Theta_Var,0.0024334682375579232
F3_Envelope_Sync,0.0024254337176719386
P4_Delta_Abs,0.0024239510068305298
F7_Theta_Abs,0.0024224074944622725
T4_Theta_Abs,0.0024218635666736804
Fp1_Envelope_Sync,0.0024210778782120237
F3_Alpha_Mean,0.00241794249854532
C4_Delta_Abs,0.0024143887908100216
F7_Alpha_Rel,0.002413468167689441
Pz_Theta_CV,0.0024119111781705253
C3_Alpha_CV,0.0024083800127146222
C4_Alpha_Var,0.0024055750520959865
C4_Alpha_CV,0.0023988146364461774
C3_Envelope_Sync,0.002397418941275236
T6_Theta_Var,0.0023953523801377237
T3_Theta_Abs,0.002394124521025902
F3_Alpha_Abs,0.002391920959516997
P3_Theta_Abs,0.002384177296082484
C4_Theta_Var,0.0023839023315730375
Fp2_Alpha_Var,0.0023817324280814554
T6_Alpha_Abs,0.0023786700313509026
C3_Alpha_Var,0.0023785209009496784
F7_Alpha_CV,0.0023781641314670884
T5_Theta_Abs,0.0023761894682869096
T5_Envelope_Sync,0.002375073854250875
O2_Alpha_Abs,0.0023746393651531863
P3_Theta_CV,0.002373730852108215
F8_Alpha_Mean,0.0023713910301031045
F4_Theta_CV,0.0023701207371447657
P4_Alpha_Var,0.002369086724105045
P3_Alpha_CV,0.002365068036195386
F7_Alpha_Var,0.002360996083692118
F7_Theta_Bursts,0.0023578491649682725
Fp2_Theta_CV,0.002357103667446252
Fp2_Alpha_CV,0.0023570926790880595
T4_Theta_Var,0.0023565863480337406
Fz_Gamma_Rel,0.0023558767849997117
T4_Alpha_Abs,0.0023542282203276098
Pz_Alpha_CV,0.0023512233232515383
F8_Theta_CV,0.002348158951959554
T4_Theta_CV,0.0023480523623077712
Cz_Envelope_Sync,0.0023471786602274358
Fp2_Theta_Mean,0.002346006324030257
T5_Alpha_Var,0.002344619973485477
F7_Alpha_Abs,0.0023323893653232177
Fp1_Theta_Var,0.002330477638876502
Fp1_Alpha_CV,0.0023203673606086578
F8_Alpha_Var,0.002316507432813041
T5_Alpha_CV,0.0023093022389018294
F7_Beta_Rel,0.0023089906448742793
O2_Alpha_CV,0.002293444674962996
Cz_Alpha_CV,0.002292573107677832
C3_Theta_CV,0.0022889746897502123
F4_Theta_Var,0.00228484733889131
Fp1_Theta_Mean,0.002281363904215725
Fp1_Alpha_Mean,0.002280251618691292
T5_Theta_Bursts,0.002279107516603325
T3_Alpha_CV,0.002275183662979572
T3_Alpha_Abs,0.002273158691204818
Pz_Alpha_Abs,0.0022690239157314523
O1_Alpha_Abs,0.0022689795378466504
Fz_Alpha_Bursts,0.0022639148493289593
O1_Alpha_CV,0.0022638183144930353
P4_Alpha_CV,0.002261327906328013
C4_Theta_CV,0.0022597165768956343
O2_Alpha_Var,0.0022539771710489045
C4_Theta_Bursts,0.0022538222931852256
O1_Theta_CV,0.002253082149628202
F3_Alpha_Var,0.0022463362817150574
F7_Delta_Abs,0.0022338658392352753
Fz_Theta_Var,0.0022244258291982105
P3_Theta_Var,0.002224213471025074
Fz_Theta_CV,0.0022221380574474216
Fp2_Alpha_Abs,0.0022151370809487215
O1_Alpha_Var,0.0022137624565310996
Cz_Alpha_Bursts,0.0022054290436985266
P3_Theta_Bursts,0.0022048223029740564
F4_Alpha_Var,0.002203993012241541
Fp2_Theta_Var,0.0022037208896534114
T4_Envelope_Sync,0.0021959103052208847
O2_Theta_CV,0.002194520754693295
F8_Alpha_CV,0.002189372885102687
T5_Theta_CV,0.0021891325846576434
F8_Theta_Bursts,0.002186625464395932
T4_Alpha_CV,0.0021767842127914786
T3_Alpha_Bursts,0.0021750263358833017
P3_Alpha_Abs,0.00217477630210667
P3_Envelope_Sync,0.0021730796821826997
F3_Alpha_CV,0.002169194150729565
Pz_Alpha_Var,0.0021626666585940362
C3_Alpha_Bursts,0.002162367783389893
P4_Alpha_Bursts,0.002162208118758525
P3_Alpha_Bursts,0.0021610911480979705
F4_Alpha_CV,0.0021586604996733346
O2_Alpha_Bursts,0.0021523703347465415
Fp2_Theta_Bursts,0.002151895300577419
F8_Alpha_Abs,0.0021487272980000214
T5_Alpha_Bursts,0.002148360886633269
T4_Alpha_Bursts,0.0021425425130912603
Fz_Alpha_Var,0.002137580048898101
P3_Alpha_Var,0.0021234015837646317
Fp1_Alpha_Abs,0.002119078120257269
F3_Alpha_Bursts,0.002116885545902322
C3_Theta_Bursts,0.0021138612230474627
Fz_Alpha_CV,0.0021051737599881697
F4_Alpha_Bursts,0.002099176942370518
F4_Theta_Bursts,0.002092095118862009
Pz_Theta_Bursts,0.0020914708565973484
F4_Alpha_Mean,0.0020889224339885985
Fp1_Theta_Bursts,0.002086101250369094
C4_Alpha_Bursts,0.0020822634902607578
Fp1_Alpha_Var,0.0020779140148519328
F7_Alpha_Bursts,0.002064624327702172
O1_Theta_Bursts,0.0020633777132790286
F4_Alpha_Abs,0.002053038384036265
O2_Theta_Bursts,0.002024957568476697
Cz_Theta_Bursts,0.001995319549099038
T3_Theta_Bursts,0.001978354326518901
T4_Theta_Bursts,0.0019758206210229758
O1_Alpha_Bursts,0.0019742259710591147
F3_Theta_Bursts,0.001968942112259314
Pz_Alpha_Bursts,0.0019524999009569999
P4_Theta_Bursts,0.0019412167336107014
Fp2_Alpha_Bursts,0.001937807918504013
F8_Alpha_Bursts,0.0019329480465948103
T6_Theta_Bursts,0.0019294699742017662
Fp1_Alpha_Bursts,0.0019170420598541955
Fz_Theta_Bursts,0.001812487519908255
