Feature,Importance
F8_Theta_Mean,0.006079756663108048
C3_Theta_Rel,0.005553218736911927
T6_Theta_Rel,0.005191722664428229
T4_Beta_Rel,0.005063732343458848
O2_Theta_Rel,0.00484348783648888
T4_Delta_Rel,0.004639081424502364
F8_Theta_Abs,0.004514158297989961
Cz_Beta_Abs,0.00451302382290679
P3_Theta_Rel,0.004319555789018338
O1_Theta_Rel,0.0042558617166162625
Fp2_Gamma_Abs,0.004129443963938098
F8_Theta_Var,0.004107491498515318
Fp2_Beta_Abs,0.0041005793490902255
T4_Theta_Mean,0.004092029005179899
T4_Gamma_Rel,0.0040568089960178536
T3_Beta_Rel,0.004040874530309473
T3_Gamma_Rel,0.003979232668025785
Fp2_Gamma_Rel,0.0038219522496105406
F8_Gamma_Abs,0.003791180659098352
Cz_Theta_Mean,0.0037659513379213524
P4_Theta_Rel,0.003754932498457794
O2_Theta_Mean,0.003739837906827356
Fp1_Delta_Rel,0.003709338699726555
F3_Beta_Rel,0.0037060757279781384
F3_Alpha_Rel,0.0036986340237501543
F8_Beta_Abs,0.003691826268361025
Cz_Gamma_Abs,0.0036729467364144783
Pz_Theta_Rel,0.0035981877438292166
Cz_Beta_Rel,0.0035918648678872423
T3_Delta_Rel,0.0035731941642186803
F4_Delta_Rel,0.003566739886461685
F3_Delta_Rel,0.0035649779939515443
Fz_Alpha_Rel,0.003562930081558012
O1_Theta_Mean,0.0035617802747766056
C3_Gamma_Abs,0.0035494489237783192
F3_Theta_Abs,0.0035411858725841907
C3_Delta_Rel,0.003516483652817716
C3_Gamma_Rel,0.003504326813614642
T5_Gamma_Rel,0.003499990996901779
T3_Gamma_Abs,0.0034731630043981277
Cz_Alpha_Rel,0.0034684580088822016
T4_Theta_Rel,0.0034579304141839073
F3_Theta_Mean,0.0034370240691888394
T6_Alpha_Mean,0.00341596646608216
T5_Alpha_Rel,0.0034100599177192444
O2_Alpha_Rel,0.0034078712070475894
T6_Gamma_Rel,0.003394994631493983
Cz_Delta_Abs,0.003377240103670953
C3_Alpha_Mean,0.003373452047575802
O2_Delta_Abs,0.0033549153573528613
O1_Delta_Rel,0.003353439329983928
F8_Alpha_Mean,0.003352395054653619
Fp1_Alpha_Rel,0.003346000587156005
F4_Theta_Rel,0.0033232685629303147
T3_Beta_Abs,0.003323067520838524
F8_Delta_Abs,0.003320476122253904
F3_Theta_Rel,0.0033085891966741325
T5_Delta_Rel,0.003307710553263557
T6_Gamma_Abs,0.003297131287421513
Fp1_Delta_Abs,0.003263132381963105
T5_Beta_Rel,0.0032603086349563206
Fp1_Theta_Mean,0.0032577941427360075
Pz_Beta_Rel,0.0032546594053726417
O1_Gamma_Rel,0.0032457841093583217
Fz_Gamma_Abs,0.0032386750686833952
C4_Gamma_Rel,0.0032366823289899983
T5_Gamma_Abs,0.0032342736925382834
O2_Delta_Rel,0.0032166250529492243
O1_Gamma_Abs,0.003203780800842173
T4_Theta_Abs,0.0031884088132243934
O1_Theta_Abs,0.003187481391849006
C3_Beta_Rel,0.0031846443935472386
P4_Delta_Rel,0.003171917795605521
O2_Gamma_Rel,0.0031675766705600494
T5_Theta_Rel,0.003161558505387836
Fp1_Gamma_Abs,0.003157453545970005
T4_Delta_Abs,0.0031562989148388038
P3_Beta_Rel,0.003152628425357059
Fp2_Theta_Rel,0.0031444293641322615
P3_Theta_Mean,0.0031437332030540446
O2_Theta_Abs,0.0031435242533203473
F7_Gamma_Abs,0.0031322291050290487
P4_Theta_Mean,0.003127399179823619
F7_Delta_Rel,0.0031226668363426077
T3_Theta_Rel,0.00310432349940374
C3_Beta_Abs,0.0031020361350938487
Fp2_Theta_Mean,0.003100452023287877
F4_Beta_Rel,0.0030998005261363287
Pz_Alpha_Rel,0.003098195949789064
Cz_Theta_Abs,0.0030901036341288574
T4_Gamma_Abs,0.003071553443995573
P4_Beta_Rel,0.003060345060435692
Pz_Theta_Mean,0.0030504479075932275
T6_Alpha_Rel,0.003040992190992822
Fp1_Gamma_Rel,0.0030360121621951595
Pz_Delta_Rel,0.00303207990391407
O2_Gamma_Abs,0.003032055645544703
Fp1_Alpha_Mean,0.0030275145373986705
P4_Alpha_Rel,0.0030263622554378687
Cz_Gamma_Rel,0.0029966422769601366
Fz_Delta_Rel,0.00297858635910284
T3_Theta_Mean,0.00297770349547589
C4_Gamma_Abs,0.002976724886553902
F8_Alpha_Rel,0.0029743230838159642
Cz_Delta_Rel,0.0029681378585888025
Fp1_Theta_Abs,0.0029613915959969856
T3_Alpha_Mean,0.00295545716677688
Fp2_Alpha_Mean,0.0029480274084397995
C4_Alpha_Mean,0.002946147366628146
O2_Alpha_Mean,0.0029456441186912936
O2_Envelope_Sync,0.002944598564444451
T6_Theta_Mean,0.0029345650255457006
P4_Alpha_Mean,0.0029291289293650507
F8_Alpha_Abs,0.0029096080241964653
F4_Gamma_Abs,0.0029033223976272144
F4_Alpha_Rel,0.0028903633996362824
P3_Theta_Var,0.0028747845618121376
C3_Theta_Mean,0.002872594925649713
T4_Alpha_Rel,0.0028664383003965776
T4_Alpha_Mean,0.0028645135577090274
P3_Gamma_Rel,0.002857357410703311
Fz_Theta_Mean,0.002844723641321788
Fp1_Beta_Rel,0.0028382119341616363
T6_Delta_Rel,0.0028344103289035766
F7_Gamma_Rel,0.0028304561041592314
C3_Alpha_Rel,0.002824065185121597
O1_Beta_Rel,0.00282151985165968
O1_Alpha_Rel,0.0028150908408911286
C4_Theta_Mean,0.00281477994682865
T4_Theta_Var,0.002813074792774079
Fp2_Delta_Rel,0.0028106841079012937
C4_Beta_Abs,0.002807885295118954
F4_Gamma_Rel,0.002806538832257057
Cz_Theta_Var,0.0028046825426802833
O2_Theta_Var,0.0027828075770794493
F8_Delta_Rel,0.002780611028395069
P3_Theta_Abs,0.0027758482336693677
T4_Beta_Abs,0.002767103713409449
F7_Beta_Abs,0.0027652014110409635
Fp1_Theta_Var,0.0027633816013710294
F3_Gamma_Abs,0.0027574862926898875
T6_Beta_Abs,0.0027540829818380914
Fp2_Envelope_Sync,0.002751539878900571
F4_Theta_Mean,0.002747577895801939
T5_Alpha_Mean,0.002740552621797965
F7_Alpha_Rel,0.0027373938284317913
C4_Delta_Rel,0.002734907288680126
P3_Delta_Rel,0.0027313798437741134
F7_Beta_Rel,0.0027257499997333325
C4_Beta_Rel,0.0027219266404488046
C4_Theta_Rel,0.0027176890050222224
T5_Beta_Abs,0.002716655930735015
F3_Theta_Var,0.002716471116301773
Fp2_Beta_Rel,0.0027027309809402617
Pz_Theta_Abs,0.002699365973130491
Fz_Theta_Rel,0.0026981731398183616
Cz_Alpha_Mean,0.0026940630528269824
F7_Alpha_Mean,0.0026849790786932703
Fp1_Beta_Abs,0.002662850646637941
Fp2_Delta_Abs,0.002661769544131218
T6_Envelope_Sync,0.002659979945027475
Fp2_Theta_Abs,0.0026595095626240984
O1_Theta_Var,0.002659234682556069
F3_Delta_Abs,0.0026496412777411277
C3_Delta_Abs,0.0026489700797687407
T3_Delta_Abs,0.0026484518475279827
O2_Beta_Rel,0.0026470204443051534
P3_Alpha_Rel,0.0026436803071005384
P3_Gamma_Abs,0.002642443403168363
O2_Beta_Abs,0.0026399440327633905
F4_Delta_Abs,0.00263351051843064
T3_Alpha_Rel,0.0026276720023691883
T6_Theta_Var,0.002623980021336016
Fz_Beta_Rel,0.002622251180861419
F4_Theta_Abs,0.0026186269132260453
T5_Theta_Mean,0.0026177713387352053
F8_Alpha_Var,0.0026162659177693883
P4_Theta_Abs,0.002612752621576451
O1_Alpha_Mean,0.002612342227328211
Fp2_Alpha_Rel,0.0026121667572413096
Fz_Alpha_Mean,0.002611791778650935
P4_Beta_Abs,0.002607708739767033
F8_Envelope_Sync,0.002605545429668232
C3_Theta_Abs,0.002604738299217066
T6_Alpha_Var,0.0026001169958641346
P4_Alpha_CV,0.0025996553788016187
F8_Gamma_Rel,0.0025939081904956564
Cz_Envelope_Sync,0.002593519422837787
T6_Delta_Abs,0.0025915562848421512
T6_Alpha_CV,0.002589714763768314
C4_Alpha_Abs,0.002586777623043743
P4_Envelope_Sync,0.0025862534280402085
T3_Alpha_Var,0.0025833023096955114
Cz_Theta_Rel,0.0025804470066924765
T4_Alpha_Abs,0.002579399036457085
Fp1_Envelope_Sync,0.0025763695330017406
Pz_Theta_Var,0.002572911031330554
T3_Theta_CV,0.0025685094549955535
T6_Theta_CV,0.002562328434626666
F3_Alpha_Mean,0.0025614037345976703
T4_Alpha_CV,0.0025587392013307316
F3_Theta_CV,0.002553968771950114
P4_Gamma_Rel,0.0025504350011957113
F4_Beta_Abs,0.0025389440941559465
C3_Envelope_Sync,0.0025364605152575002
F7_Theta_Mean,0.0025359336646598608
P4_Theta_CV,0.002531677815674322
P3_Alpha_Mean,0.002530808885235099
T6_Theta_Abs,0.002520576299950248
Pz_Envelope_Sync,0.0025177473960195165
Pz_Beta_Abs,0.002513693610344143
C3_Alpha_Var,0.0025097220407189137
C4_Theta_CV,0.0025027088283254006
Fp1_Alpha_Var,0.0024974482427987136
F4_Theta_CV,0.002494320741286441
T4_Alpha_Var,0.002491727825821152
Fp2_Alpha_Var,0.002490541518222564
O1_Beta_Abs,0.0024883503459027134
F7_Delta_Abs,0.0024871149479164687
T5_Alpha_Abs,0.00248487099989481
T5_Theta_Abs,0.0024843341540687963
T5_Delta_Abs,0.002483240916795381
P4_Theta_Var,0.002481605395598068
T6_Beta_Rel,0.002476886228794282
Pz_Theta_CV,0.002476608425101237
P3_Theta_Bursts,0.002474224118720234
F8_Theta_Rel,0.00247265740817333
F8_Beta_Rel,0.0024725294445991897
Fz_Alpha_CV,0.002472233925258235
C3_Alpha_Abs,0.002472202503778552
Cz_Theta_CV,0.00247206821578595
T5_Alpha_Var,0.002464684866036675
Cz_Alpha_Abs,0.002463468650941739
Fz_Beta_Abs,0.0024591172268682185
T4_Theta_CV,0.002457161821453967
Fp1_Theta_Rel,0.002456861068010176
F3_Gamma_Rel,0.002456768618215356
C4_Delta_Abs,0.002453166874508493
Fz_Envelope_Sync,0.002451484187968421
Fp2_Theta_CV,0.00245023751752964
P3_Theta_CV,0.0024440808085186496
F3_Beta_Abs,0.002442502234558035
C4_Theta_Abs,0.002442497182618169
Pz_Gamma_Rel,0.002441990212501288
C4_Alpha_Var,0.0024400124931101743
T3_Envelope_Sync,0.002437189086314639
T5_Theta_Var,0.002433708614746152
F7_Alpha_Var,0.0024300478671276326
P4_Delta_Abs,0.0024298967232365
Pz_Gamma_Abs,0.002426129910541446
Fp2_Theta_Var,0.002425408663723671
O2_Alpha_CV,0.002424567789516469
T3_Theta_Abs,0.0024228758196833916
T3_Theta_Var,0.002418389609157657
C4_Alpha_Rel,0.0024177947766253977
O1_Envelope_Sync,0.002416667074302352
F3_Envelope_Sync,0.0024163625993948367
T6_Alpha_Abs,0.0024125645441328697
Pz_Delta_Abs,0.0024069686552635875
P3_Delta_Abs,0.0024010280681238056
Pz_Alpha_Mean,0.0023947550276963753
F7_Envelope_Sync,0.0023924569665175286
Pz_Alpha_Bursts,0.0023907477974262448
C3_Theta_Var,0.00238586851728775
C4_Alpha_CV,0.0023846042697698317
Cz_Alpha_Var,0.00238074466463877
T5_Theta_CV,0.0023756156039837005
F4_Theta_Var,0.0023751567597835705
Fp1_Alpha_CV,0.002369267898025226
O2_Alpha_Var,0.0023692003674066144
T5_Alpha_Bursts,0.00236623772083187
T5_Envelope_Sync,0.002364357649897717
