Feature,Importance
C3_Theta_Rel,0.0065012168545238
T3_Theta_Rel,0.005370349317300924
Fp2_Gamma_Rel,0.005331732887430065
Cz_Beta_Abs,0.005158889756104655
Pz_Theta_Rel,0.005054075346546748
O1_Theta_Rel,0.004911497791795053
T3_Beta_Rel,0.004782688137504267
F4_Theta_Rel,0.0047737092471722194
O2_Theta_Rel,0.004708791671893023
P3_Theta_Rel,0.004619324406245784
T4_Gamma_Rel,0.004467122498679284
Fp2_Gamma_Abs,0.004394103415606238
Fp1_Delta_Rel,0.004340835617634797
P4_Theta_Rel,0.00433878546165062
T4_Theta_Rel,0.00433379801799689
T5_Theta_Rel,0.0042473562535789815
T3_Gamma_Rel,0.00420448172066255
Fp2_Delta_Rel,0.0041584539009390424
Cz_Theta_Mean,0.004143966063189182
F3_Delta_Rel,0.003976584362056146
T4_Beta_Rel,0.00397196242503012
T3_Delta_Rel,0.003944537520520729
T6_Theta_Rel,0.003873424667452179
T4_Delta_Rel,0.003868407526768097
C3_Gamma_Rel,0.0037382683887538324
C4_Theta_Rel,0.003736454399858816
Fp2_Theta_Rel,0.003695838659713559
Fz_Delta_Rel,0.0036240619649647414
Cz_Theta_Abs,0.003599098206547827
T5_Delta_Rel,0.0035767838536168097
Cz_Gamma_Abs,0.0035716820768942276
C3_Delta_Rel,0.0035684443344099355
F3_Theta_Rel,0.003555025314759316
O2_Delta_Abs,0.0035368275704441956
Fz_Alpha_Rel,0.0035319190466064133
Fp1_Gamma_Rel,0.0035257118992528297
Fz_Gamma_Abs,0.0035016000656851835
P3_Beta_Rel,0.0034961568250649563
T3_Beta_Abs,0.0034955145795009662
T4_Gamma_Abs,0.003494816773246955
O2_Delta_Rel,0.0034796382234940156
F4_Delta_Rel,0.0034744579330414607
Fz_Theta_Rel,0.0034691352161373736
T3_Gamma_Abs,0.003460511808462399
C4_Gamma_Rel,0.0034547356409244784
C3_Gamma_Abs,0.003448330377593282
Cz_Beta_Rel,0.003447786975573389
O1_Theta_Mean,0.0034402624309258895
Cz_Theta_Rel,0.0033886894744285167
C3_Alpha_Mean,0.0033832641275631584
C3_Beta_Rel,0.003366958383248465
O1_Theta_Abs,0.0033624795956075358
O2_Gamma_Rel,0.0033610279480543884
T5_Beta_Rel,0.003349371278690756
Fp2_Beta_Rel,0.0033364872900481356
C3_Beta_Abs,0.0033241263839146732
Pz_Theta_Mean,0.0032969024183053344
T5_Gamma_Rel,0.0032662792982352446
T6_Gamma_Rel,0.003265201999612117
F7_Delta_Rel,0.0032625679344634377
O1_Theta_Var,0.0032574506985565293
F8_Delta_Rel,0.0032556477555990377
F8_Theta_Rel,0.0032553969569570386
O2_Theta_Mean,0.0032543379430763643
O2_Theta_Abs,0.0032511173073724287
O1_Gamma_Rel,0.0032209010874353476
Fp2_Beta_Abs,0.003212159152129021
F3_Delta_Abs,0.0032023871643602577
T5_Gamma_Abs,0.0031977432340737828
Cz_Delta_Abs,0.0031935324139019945
F3_Alpha_Rel,0.0031712938140663807
O1_Delta_Rel,0.0031712152540206164
Pz_Beta_Rel,0.003154696987267123
Cz_Gamma_Rel,0.00314658130100295
T6_Alpha_Mean,0.0031405843708056597
O2_Gamma_Abs,0.0031291843536837604
O1_Gamma_Abs,0.0031189966186750523
F8_Theta_Abs,0.0030992040219513027
Cz_Alpha_Rel,0.0030973726828590143
T5_Alpha_Rel,0.0030935024261168533
C4_Alpha_Mean,0.0030818226893607535
P3_Delta_Rel,0.0030785068938797024
Cz_Theta_Var,0.00306607829952749
F8_Gamma_Rel,0.003065250492619782
T6_Beta_Abs,0.003064224817759676
F3_Theta_Abs,0.0030587652220847097
C4_Gamma_Abs,0.003056354271256712
O2_Alpha_Mean,0.0030425047065312434
T4_Beta_Abs,0.0030392144466527393
T6_Gamma_Abs,0.003030362710221367
O2_Envelope_Sync,0.0030203025421751796
Fp2_Alpha_Rel,0.00301503656054887
F8_Gamma_Abs,0.003004699584522319
P4_Theta_Mean,0.0030023045238009183
P4_Delta_Rel,0.0029893446793411533
F4_Beta_Rel,0.002980778193661199
Cz_Delta_Rel,0.0029767669567712664
F7_Theta_Rel,0.0029765663736442405
Fp1_Delta_Abs,0.002971941427804043
C3_Alpha_Rel,0.002971597630200923
O2_Alpha_Rel,0.0029553191871241626
C4_Theta_Mean,0.0029549121983918803
T6_Alpha_Rel,0.002946807279548743
F4_Gamma_Abs,0.0029403799305299265
F7_Gamma_Abs,0.0029319126348042106
T5_Beta_Abs,0.0029185378600008727
Fp1_Theta_Rel,0.0029124747205853886
F7_Gamma_Rel,0.0029076199364230166
F8_Theta_Mean,0.0029065677575303406
C4_Beta_Abs,0.002888021032480439
O1_Beta_Rel,0.0028879308977689208
T3_Alpha_Rel,0.0028870735459714868
C3_Theta_Mean,0.002882869978148545
P4_Beta_Abs,0.002880461908962448
Fp1_Alpha_Rel,0.00287055721808233
Fp1_Gamma_Abs,0.0028611675335714825
Fz_Alpha_Mean,0.002855210985643973
F4_Gamma_Rel,0.002851651537320916
P3_Theta_Mean,0.0028494114874919475
O1_Alpha_Rel,0.0028490967705083877
P4_Alpha_Mean,0.0028482300947544428
T6_Beta_Rel,0.002846956781195464
Fp2_Delta_Abs,0.0028433467942728437
Fp2_Alpha_Mean,0.002832081434188252
F7_Beta_Abs,0.0028213554710694905
Pz_Delta_Rel,0.0028193680717632824
F8_Beta_Rel,0.002818024728102335
Fp1_Beta_Rel,0.0028127700484883124
Cz_Alpha_Abs,0.0028084441572034514
C3_Theta_Abs,0.0028034413118769954
O2_Beta_Abs,0.002803066365343453
O2_Theta_Var,0.0027998187040904
F3_Theta_Mean,0.0027980691968730992
P3_Gamma_Rel,0.0027857640950442663
P3_Beta_Abs,0.0027817757054684534
C4_Alpha_Rel,0.0027810502489928313
C4_Beta_Rel,0.0027782320064935334
Fp1_Theta_Abs,0.0027773995954671143
F3_Beta_Rel,0.002773574627945368
P3_Delta_Abs,0.002770904858510477
Pz_Theta_Abs,0.0027602906218611484
O1_Alpha_Mean,0.0027537679634774483
Fz_Beta_Rel,0.002736546528461158
Fz_Envelope_Sync,0.0027356766059305616
T4_Alpha_Rel,0.0027311735832755805
F4_Delta_Abs,0.0027271831444797747
F7_Alpha_Mean,0.002727043859091635
Pz_Theta_Var,0.0027224679123807453
Pz_Envelope_Sync,0.002715603961214363
Pz_Beta_Abs,0.0027130210802410754
F3_Beta_Abs,0.0027049425630122637
F8_Beta_Abs,0.0027039844092693285
F7_Theta_Mean,0.0026971365886314766
F8_Theta_Var,0.002690519967588528
P4_Beta_Rel,0.0026901926221734825
C3_Delta_Abs,0.0026898282809105166
F3_Gamma_Rel,0.0026863759653311917
P3_Gamma_Abs,0.0026829428605442476
Fp1_Beta_Abs,0.0026812615966811133
Cz_Alpha_Mean,0.002679508586347369
Pz_Alpha_Rel,0.0026777885378106527
