Model,Accuracy,Precision,Recall,F1,ROC-AUC,Window,ArtifactCondition,Category,Variant,N_Features
SVM,0.6085271317829457,0.5337423312883436,0.7767857142857143,0.6327272727272727,0.6712940313111546,Analysis_Window,Raw,Baseline,Full Feature Set,1152
Logistic Regression,0.627906976744186,0.55,0.7857142857142857,0.6470588235294118,0.7459637964774952,Analysis_Window,Raw,Baseline,Full Feature Set,1152
SVM,0.6356589147286822,0.55625,0.7946428571428571,0.6544117647058824,0.6765533268101761,Analysis_Window,Raw,Feature Family (Omit),Omit Time-Domain,640
Logistic Regression,0.6434108527131783,0.5714285714285714,0.7142857142857143,0.6349206349206349,0.7720768101761253,Analysis_Window,Raw,Feature Family (Omit),Omit Time-Domain,640
SVM,0.5852713178294574,0.5146198830409356,0.7857142857142857,0.6219081272084805,0.6723336594911937,Analysis_Window,Raw,Feature Family (Omit),Omit Hjorth,960
Logistic Regression,0.6162790697674418,0.5424836601307189,0.7410714285714286,0.6264150943396226,0.7446795499021527,Analysis_Window,Raw,Feature Family (Omit),Omit Hjorth,960
SVM,0.5968992248062015,0.5246913580246914,0.7589285714285714,0.6204379562043796,0.6470768101761252,Analysis_Window,Raw,Feature Family (Omit),Omit Spectral,896
Logistic Regression,0.5813953488372093,0.5121951219512195,0.75,0.6086956521739131,0.6447529354207436,Analysis_Window,Raw,Feature Family (Omit),Omit Spectral,896
SVM,0.6124031007751938,0.5375,0.7678571428571429,0.6323529411764706,0.6793664383561644,Analysis_Window,Raw,Feature Family (Omit),Omit Entropy,960
Logistic Regression,0.6046511627906976,0.5304878048780488,0.7767857142857143,0.6304347826086957,0.7302470645792564,Analysis_Window,Raw,Feature Family (Omit),Omit Entropy,960
SVM,0.6007751937984496,0.5263157894736842,0.8035714285714286,0.6360424028268551,0.648238747553816,Analysis_Window,Raw,Feature Family (Isolate),Only Time-Domain,512
Logistic Regression,0.5348837209302325,0.47368421052631576,0.6428571428571429,0.5454545454545454,0.5999877690802349,Analysis_Window,Raw,Feature Family (Isolate),Only Time-Domain,512
SVM,0.6356589147286822,0.5608108108108109,0.7410714285714286,0.6384615384615384,0.6385763209393347,Analysis_Window,Raw,Feature Family (Isolate),Only Hjorth,192
Logistic Regression,0.5465116279069767,0.4853801169590643,0.7410714285714286,0.5865724381625441,0.6086105675146771,Analysis_Window,Raw,Feature Family (Isolate),Only Hjorth,192
SVM,0.6666666666666666,0.5902777777777778,0.7589285714285714,0.6640625,0.7418664383561644,Analysis_Window,Raw,Feature Family (Isolate),Only Spectral,256
Logistic Regression,0.7403100775193798,0.7319587628865979,0.6339285714285714,0.6794258373205742,0.7676125244618396,Analysis_Window,Raw,Feature Family (Isolate),Only Spectral,256
SVM,0.5852713178294574,0.5153374233128835,0.75,0.610909090909091,0.6616316046966733,Analysis_Window,Raw,Feature Family (Isolate),Only Entropy,192
Logistic Regression,0.5542635658914729,0.4913294797687861,0.7589285714285714,0.5964912280701754,0.6964897260273972,Analysis_Window,Raw,Feature Family (Isolate),Only Entropy,192
SVM,0.6550387596899225,0.5851851851851851,0.7053571428571429,0.6396761133603239,0.7443126223091977,Analysis_Window,Raw,Scalp Region (Omit),Omit Anterior (Frontal),720
Logistic Regression,0.6085271317829457,0.535483870967742,0.7410714285714286,0.6217228464419475,0.7422333659491195,Analysis_Window,Raw,Scalp Region (Omit),Omit Anterior (Frontal),720
SVM,0.5852713178294574,0.5146198830409356,0.7857142857142857,0.6219081272084805,0.6190680039138943,Analysis_Window,Raw,Scalp Region (Omit),Omit Central & Temporal,792
Logistic Regression,0.5813953488372093,0.5125,0.7321428571428571,0.6029411764705882,0.7000366927592955,Analysis_Window,Raw,Scalp Region (Omit),Omit Central & Temporal,792
SVM,0.5697674418604651,0.5041322314049587,0.5446428571428571,0.5236051502145923,0.6406555772994129,Analysis_Window,Raw,Scalp Region (Omit),Omit Posterior,792
Logistic Regression,0.627906976744186,0.5506329113924051,0.7767857142857143,0.6444444444444445,0.7605797455968689,Analysis_Window,Raw,Scalp Region (Omit),Omit Posterior,792
SVM,0.5503875968992248,0.484375,0.5535714285714286,0.5166666666666667,0.6188845401174168,Analysis_Window,Raw,Scalp Region (Isolate),Only Anterior (Frontal),432
Logistic Regression,0.6124031007751938,0.5461538461538461,0.6339285714285714,0.5867768595041323,0.6753913894324853,Analysis_Window,Raw,Scalp Region (Isolate),Only Anterior (Frontal),432
SVM,0.6666666666666666,0.6805555555555556,0.4375,0.532608695652174,0.7343444227005872,Analysis_Window,Raw,Scalp Region (Isolate),Only Central & Temporal,360
Logistic Regression,0.6589147286821705,0.5769230769230769,0.8035714285714286,0.6716417910447762,0.7751956947162426,Analysis_Window,Raw,Scalp Region (Isolate),Only Central & Temporal,360
SVM,0.5930232558139535,0.5212121212121212,0.7678571428571429,0.6209386281588448,0.7414995107632094,Analysis_Window,Raw,Scalp Region (Isolate),Only Posterior,360
Logistic Regression,0.6666666666666666,0.6274509803921569,0.5714285714285714,0.5981308411214953,0.712940313111546,Analysis_Window,Raw,Scalp Region (Isolate),Only Posterior,360
SVM,0.5,0.4604651162790698,0.8839285714285714,0.6055045871559633,0.59668542074364,Analysis_Window,ICA_Cleaned,Baseline,Full Feature Set,1152
Logistic Regression,0.5852713178294574,0.5141242937853108,0.8125,0.629757785467128,0.7117783757338553,Analysis_Window,ICA_Cleaned,Baseline,Full Feature Set,1152
SVM,0.5426356589147286,0.4854368932038835,0.8928571428571429,0.6289308176100629,0.6090386497064579,Analysis_Window,ICA_Cleaned,Feature Family (Omit),Omit Time-Domain,640
Logistic Regression,0.5813953488372093,0.5113636363636364,0.8035714285714286,0.625,0.7347725048923679,Analysis_Window,ICA_Cleaned,Feature Family (Omit),Omit Time-Domain,640
SVM,0.4883720930232558,0.4532710280373832,0.8660714285714286,0.5950920245398773,0.5895303326810175,Analysis_Window,ICA_Cleaned,Feature Family (Omit),Omit Hjorth,960
Logistic Regression,0.5891472868217055,0.5180722891566265,0.7678571428571429,0.6187050359712231,0.6792441291585127,Analysis_Window,ICA_Cleaned,Feature Family (Omit),Omit Hjorth,960
SVM,0.46511627906976744,0.4419642857142857,0.8839285714285714,0.5892857142857143,0.5557118395303327,Analysis_Window,ICA_Cleaned,Feature Family (Omit),Omit Spectral,896
Logistic Regression,0.5736434108527132,0.5064102564102564,0.7053571428571429,0.5895522388059702,0.6164995107632094,Analysis_Window,ICA_Cleaned,Feature Family (Omit),Omit Spectral,896
SVM,0.5193798449612403,0.4716981132075472,0.8928571428571429,0.6172839506172839,0.6120963796477495,Analysis_Window,ICA_Cleaned,Feature Family (Omit),Omit Entropy,960
Logistic Regression,0.5968992248062015,0.5246913580246914,0.7589285714285714,0.6204379562043796,0.6939212328767124,Analysis_Window,ICA_Cleaned,Feature Family (Omit),Omit Entropy,960
SVM,0.46124031007751937,0.4377880184331797,0.8482142857142857,0.5775075987841946,0.5171844422700587,Analysis_Window,ICA_Cleaned,Feature Family (Isolate),Only Time-Domain,512
Logistic Regression,0.5232558139534884,0.456,0.5089285714285714,0.4810126582278481,0.5497798434442269,Analysis_Window,ICA_Cleaned,Feature Family (Isolate),Only Time-Domain,512
SVM,0.4844961240310077,0.44,0.6875,0.5365853658536586,0.5637842465753424,Analysis_Window,ICA_Cleaned,Feature Family (Isolate),Only Hjorth,192
Logistic Regression,0.5271317829457365,0.46621621621621623,0.6160714285714286,0.5307692307692308,0.5526541095890412,Analysis_Window,ICA_Cleaned,Feature Family (Isolate),Only Hjorth,192
SVM,0.5697674418604651,0.5031055900621118,0.7232142857142857,0.5934065934065934,0.6392490215264188,Analysis_Window,ICA_Cleaned,Feature Family (Isolate),Only Spectral,256
Logistic Regression,0.6937984496124031,0.6941176470588235,0.5267857142857143,0.5989847715736041,0.6423679060665362,Analysis_Window,ICA_Cleaned,Feature Family (Isolate),Only Spectral,256
SVM,0.4573643410852713,0.43636363636363634,0.8571428571428571,0.5783132530120482,0.5122309197651664,Analysis_Window,ICA_Cleaned,Feature Family (Isolate),Only Entropy,192
Logistic Regression,0.5503875968992248,0.487012987012987,0.6696428571428571,0.5639097744360902,0.6034735812133073,Analysis_Window,ICA_Cleaned,Feature Family (Isolate),Only Entropy,192
SVM,0.5813953488372093,0.5103092783505154,0.8839285714285714,0.6470588235294118,0.688600782778865,Analysis_Window,ICA_Cleaned,Scalp Region (Omit),Omit Anterior (Frontal),720
Logistic Regression,0.6007751937984496,0.5294117647058824,0.7232142857142857,0.6113207547169811,0.6901296477495108,Analysis_Window,ICA_Cleaned,Scalp Region (Omit),Omit Anterior (Frontal),720
SVM,0.5232558139534884,0.47342995169082125,0.875,0.6144200626959248,0.603901663405088,Analysis_Window,ICA_Cleaned,Scalp Region (Omit),Omit Central & Temporal,792
Logistic Regression,0.5930232558139535,0.5222929936305732,0.7321428571428571,0.6096654275092936,0.6723336594911937,Analysis_Window,ICA_Cleaned,Scalp Region (Omit),Omit Central & Temporal,792
SVM,0.4844961240310077,0.44878048780487806,0.8214285714285714,0.580441640378549,0.5153498043052838,Analysis_Window,ICA_Cleaned,Scalp Region (Omit),Omit Posterior,792
Logistic Regression,0.5813953488372093,0.5112359550561798,0.8125,0.6275862068965518,0.7139799412915852,Analysis_Window,ICA_Cleaned,Scalp Region (Omit),Omit Posterior,792
