Model,Accuracy,Precision,Recall,F1,ROC-AUC,Window,ArtifactCondition,Category,Variant,N_Features
SVM,0.6685768863419294,0.6072041166380789,0.75,0.671090047393365,0.7323728813559323,Analysis_Window,Raw,Baseline,Full Feature Set,1152
Logistic Regression,0.673352435530086,0.6331967213114754,0.6546610169491526,0.64375,0.7215143699336772,Analysis_Window,Raw,Baseline,Full Feature Set,1152
SVM,0.6981852913085005,0.6517509727626459,0.7097457627118644,0.6795131845841785,0.7480324244657333,Analysis_Window,Raw,Feature Family (Omit),Omit Time-Domain,640
Logistic Regression,0.6609360076408787,0.6231578947368421,0.6271186440677966,0.6251319957761352,0.6753610906411202,Analysis_Window,Raw,Feature Family (Omit),Omit Time-Domain,640
SVM,0.6666666666666666,0.6019900497512438,0.7690677966101694,0.6753488372093023,0.7412822402358143,Analysis_Window,Raw,Feature Family (Omit),Omit Hjorth,960
Logistic Regression,0.6685768863419294,0.620889748549323,0.6800847457627118,0.6491405460060667,0.7277560795873251,Analysis_Window,Raw,Feature Family (Omit),Omit Hjorth,960
SVM,0.6017191977077364,0.5641025641025641,0.5127118644067796,0.537180910099889,0.6823176123802506,Analysis_Window,Raw,Feature Family (Omit),Omit Spectral,896
Logistic Regression,0.6294173829990449,0.59375,0.5635593220338984,0.5782608695652174,0.643761974944731,Analysis_Window,Raw,Feature Family (Omit),Omit Spectral,896
SVM,0.6580706781279847,0.5946843853820598,0.7584745762711864,0.6666666666666666,0.7119288872512897,Analysis_Window,Raw,Feature Family (Omit),Omit Entropy,960
Logistic Regression,0.6628462273161414,0.6237006237006237,0.635593220338983,0.6295907660020986,0.6980361090641121,Analysis_Window,Raw,Feature Family (Omit),Omit Entropy,960
SVM,0.6504297994269341,0.590443686006826,0.7330508474576272,0.6540642722117203,0.6808327192336036,Analysis_Window,Raw,Feature Family (Isolate),Only Time-Domain,512
Logistic Regression,0.5845272206303725,0.5343228200371057,0.6101694915254238,0.56973293768546,0.6126787030213706,Analysis_Window,Raw,Feature Family (Isolate),Only Time-Domain,512
SVM,0.5386819484240688,0.48533333333333334,0.3855932203389831,0.4297520661157025,0.5907848194546795,Analysis_Window,Raw,Feature Family (Isolate),Only Hjorth,192
Logistic Regression,0.562559694364852,0.5169902912621359,0.451271186440678,0.4819004524886878,0.5514296241709653,Analysis_Window,Raw,Feature Family (Isolate),Only Hjorth,192
SVM,0.6934097421203438,0.6751740139211136,0.6165254237288136,0.6445182724252492,0.7241488577745027,Analysis_Window,Raw,Feature Family (Isolate),Only Spectral,256
Logistic Regression,0.5959885386819485,0.5565819861431871,0.510593220338983,0.532596685082873,0.6189867354458365,Analysis_Window,Raw,Feature Family (Isolate),Only Spectral,256
SVM,0.6666666666666666,0.6237424547283702,0.6567796610169492,0.6398348813209495,0.7289019896831246,Analysis_Window,Raw,Feature Family (Isolate),Only Entropy,192
Logistic Regression,0.6399235912129895,0.5904761904761905,0.6567796610169492,0.6218655967903711,0.6996278555637435,Analysis_Window,Raw,Feature Family (Isolate),Only Entropy,192
SVM,0.7144221585482331,0.6761710794297352,0.7033898305084746,0.6895119418483905,0.7734708916728077,Analysis_Window,Raw,Scalp Region (Omit),Omit Anterior (Frontal),720
Logistic Regression,0.6800382043935053,0.6442105263157895,0.6483050847457628,0.6462513199577613,0.7319380987472366,Analysis_Window,Raw,Scalp Region (Omit),Omit Anterior (Frontal),720
SVM,0.6561604584527221,0.5924092409240924,0.760593220338983,0.6660482374768089,0.7249410464259395,Analysis_Window,Raw,Scalp Region (Omit),Omit Central & Temporal,792
Logistic Regression,0.6848137535816619,0.6643518518518519,0.6080508474576272,0.6349557522123894,0.7213485630066323,Analysis_Window,Raw,Scalp Region (Omit),Omit Central & Temporal,792
SVM,0.6561604584527221,0.599290780141844,0.7161016949152542,0.6525096525096525,0.6990125276344877,Analysis_Window,Raw,Scalp Region (Omit),Omit Posterior,792
Logistic Regression,0.6685768863419294,0.6086956521739131,0.7415254237288136,0.6685768863419294,0.7331613854089905,Analysis_Window,Raw,Scalp Region (Omit),Omit Posterior,792
SVM,0.6886341929321872,0.6454183266932271,0.6864406779661016,0.6652977412731006,0.7242667649226234,Analysis_Window,Raw,Scalp Region (Isolate),Only Anterior (Frontal),432
Logistic Regression,0.6504297994269341,0.5970695970695971,0.690677966101695,0.6404715127701375,0.7133787767133383,Analysis_Window,Raw,Scalp Region (Isolate),Only Anterior (Frontal),432
SVM,0.7106017191977078,0.6794055201698513,0.6779661016949152,0.6786850477200425,0.7574686809137805,Analysis_Window,Raw,Scalp Region (Isolate),Only Central & Temporal,360
Logistic Regression,0.6437440305635148,0.5935727788279773,0.6652542372881356,0.6273726273726273,0.6950442151805454,Analysis_Window,Raw,Scalp Region (Isolate),Only Central & Temporal,360
SVM,0.6962750716332379,0.6590909090909091,0.6758474576271186,0.6673640167364017,0.7444952100221076,Analysis_Window,Raw,Scalp Region (Isolate),Only Posterior,360
Logistic Regression,0.670487106017192,0.6401766004415012,0.614406779661017,0.6270270270270271,0.7222697126013264,Analysis_Window,Raw,Scalp Region (Isolate),Only Posterior,360
SVM,0.6227316141356256,0.55895865237366,0.7733050847457628,0.6488888888888888,0.6635943257184966,Analysis_Window,ICA_Cleaned,Baseline,Full Feature Set,1152
Logistic Regression,0.6809933142311366,0.6604651162790698,0.6016949152542372,0.6297117516629712,0.7244067796610169,Analysis_Window,ICA_Cleaned,Baseline,Full Feature Set,1152
SVM,0.6408787010506208,0.573170731707317,0.7966101694915254,0.6666666666666666,0.6871389093588799,Analysis_Window,ICA_Cleaned,Feature Family (Omit),Omit Time-Domain,640
Logistic Regression,0.6762177650429799,0.6658354114713217,0.565677966101695,0.6116838487972509,0.6996610169491524,Analysis_Window,ICA_Cleaned,Feature Family (Omit),Omit Time-Domain,640
SVM,0.6284622731614136,0.5629742033383915,0.7860169491525424,0.6560565870910698,0.6738043478260869,Analysis_Window,ICA_Cleaned,Feature Family (Omit),Omit Hjorth,960
Logistic Regression,0.6609360076408787,0.6135922330097088,0.6694915254237288,0.6403242147923,0.7050073691967575,Analysis_Window,ICA_Cleaned,Feature Family (Omit),Omit Hjorth,960
SVM,0.5023877745940784,0.44685466377440347,0.4364406779661017,0.4415862808145766,0.5747052321296979,Analysis_Window,ICA_Cleaned,Feature Family (Omit),Omit Spectral,896
Logistic Regression,0.6332378223495702,0.6057692307692307,0.5338983050847458,0.5675675675675675,0.6288872512896095,Analysis_Window,ICA_Cleaned,Feature Family (Omit),Omit Spectral,896
SVM,0.6170009551098377,0.553223388305847,0.7817796610169492,0.6479367866549605,0.6591525423728813,Analysis_Window,ICA_Cleaned,Feature Family (Omit),Omit Entropy,960
Logistic Regression,0.6552053486150907,0.6456692913385826,0.5211864406779662,0.5767878077373975,0.6782277081798084,Analysis_Window,ICA_Cleaned,Feature Family (Omit),Omit Entropy,960
SVM,0.5444126074498568,0.4954128440366973,0.5720338983050848,0.5309734513274337,0.5466967575534267,Analysis_Window,ICA_Cleaned,Feature Family (Isolate),Only Time-Domain,512
Logistic Regression,0.545367717287488,0.4959349593495935,0.5169491525423728,0.5062240663900415,0.5606595431098009,Analysis_Window,ICA_Cleaned,Feature Family (Isolate),Only Time-Domain,512
SVM,0.49379178605539636,0.42961165048543687,0.375,0.4004524886877828,0.5003500368459838,Analysis_Window,ICA_Cleaned,Feature Family (Isolate),Only Hjorth,192
Logistic Regression,0.5396370582617,0.48520710059171596,0.3474576271186441,0.4049382716049383,0.5026750184229919,Analysis_Window,ICA_Cleaned,Feature Family (Isolate),Only Hjorth,192
SVM,0.606494746895893,0.5541516245487365,0.6504237288135594,0.5984405458089669,0.6309119380987472,Analysis_Window,ICA_Cleaned,Feature Family (Isolate),Only Spectral,256
Logistic Regression,0.5463228271251194,0.4964871194379391,0.4491525423728814,0.47163515016685204,0.5543515106853353,Analysis_Window,ICA_Cleaned,Feature Family (Isolate),Only Spectral,256
SVM,0.5434574976122254,0.493801652892562,0.5063559322033898,0.5,0.5906448047162859,Analysis_Window,ICA_Cleaned,Feature Family (Isolate),Only Entropy,192
Logistic Regression,0.6150907354345749,0.5550239234449761,0.7372881355932204,0.6333030027297544,0.6657442888725129,Analysis_Window,ICA_Cleaned,Feature Family (Isolate),Only Entropy,192
SVM,0.6389684813753582,0.5746031746031746,0.7669491525423728,0.6569872958257713,0.702675018422992,Analysis_Window,ICA_Cleaned,Scalp Region (Omit),Omit Anterior (Frontal),720
Logistic Regression,0.667621776504298,0.6265306122448979,0.6504237288135594,0.6382536382536382,0.7014038319823139,Analysis_Window,ICA_Cleaned,Scalp Region (Omit),Omit Anterior (Frontal),720
SVM,0.6341929321872015,0.5669172932330827,0.798728813559322,0.6631486367634125,0.6912232866617539,Analysis_Window,ICA_Cleaned,Scalp Region (Omit),Omit Central & Temporal,792
Logistic Regression,0.6361031518624641,0.5930470347648262,0.614406779661017,0.603537981269511,0.6732313927781872,Analysis_Window,ICA_Cleaned,Scalp Region (Omit),Omit Central & Temporal,792
SVM,0.5253104106972302,0.47288503253796094,0.461864406779661,0.46730975348338694,0.6195836403831982,Analysis_Window,ICA_Cleaned,Scalp Region (Omit),Omit Posterior,792
Logistic Regression,0.670487106017192,0.6906906906906907,0.4872881355932203,0.5714285714285714,0.6903205600589536,Analysis_Window,ICA_Cleaned,Scalp Region (Omit),Omit Posterior,792
