Band,Analysis,Estimate,SE,z,CI_95_low,CI_95_high,p_value,Statistical_decision_alpha_0.05
Delta,MW minus Focus mean power,0.0991824406072372,0.0650178713395453,1.5254642848775066,-0.028252587218271577,0.226617468432746,0.12714333518578105,Not statistically significant
Delta,Focus change over time,-0.0075856085119427935,0.001926008019492424,-3.938513461611592,-0.011360584230147944,-0.0038106327937376424,8.198799497021772e-05,Statistically significant
Delta,MW change over time,0.017722048586531744,0.0037858424848632266,4.681137331357303,0.010301797316199821,0.025142299856863667,2.852877377268332e-06,Statistically significant
Theta,MW minus Focus mean power,0.04877915989637702,0.009508364718725805,5.1301313463829565,0.03014276504767444,0.0674155547450796,2.895400770545422e-07,Statistically significant
Theta,Focus change over time,-0.00495202918808372,0.006135304836797011,-0.807136616649185,-0.01697722666820586,0.0070731682920384216,0.4195877780602778,Not statistically significant
Theta,MW change over time,-0.0034553150980251935,0.0037571168188181158,-0.9196719890951219,-0.010819264062908701,0.003908633866858313,0.35774419460360796,Not statistically significant
Alpha,MW minus Focus mean power,0.14675371547864807,0.05771214826108296,2.542856571804459,0.033637904886925474,0.25986952607037067,0.010995035184195825,Statistically significant
Alpha,Focus change over time,-0.010083349979052404,0.008207803148495873,-1.2285077744463493,-0.026170644150104314,0.006003944191999507,0.21925641272527874,Not statistically significant
Alpha,MW change over time,-0.0008081491928236331,0.008663035640122113,-0.09328706776649502,-0.017787699047462975,0.01617140066181571,0.9256755057070453,Not statistically significant
Beta,MW minus Focus mean power,-0.009447818666644917,0.017307900367306193,-0.5458674054128136,-0.04337130338656506,0.024475666053275225,0.5851570850758663,Not statistically significant
Beta,Focus change over time,-0.024781830515106327,0.003158490931070004,-7.8460983602416015,-0.030972472740003535,-0.01859118829020912,4.2918037600195694e-15,Statistically significant
Beta,MW change over time,0.007895526863260501,0.004508361098270404,1.7513075574823755,-0.0009408608893494898,0.016731914615870494,0.07989294662802511,Not statistically significant
Gamma,MW minus Focus mean power,-0.030506822862359464,0.017035140708111327,-1.7908171928297345,-0.06389569865025767,0.002882052925538739,0.07332263535159869,Not statistically significant
Gamma,Focus change over time,-0.01109164821025848,0.006620033853055916,-1.6754669925348484,-0.024066914562248076,0.0018836181417311148,0.09384264200888696,Not statistically significant
Gamma,MW change over time,-0.0003886796604421934,0.003279838677745514,-0.1185057250161349,-0.0068171634688234005,0.006039804147939014,0.905666959155675,Not statistically significant
