Subject,Epoch,State,Mean_log10_power,N_Windows,Slope_log10_power_per_second
sub-01,sub-01_10_0,Focus,-12.330795323287006,9,-0.04173502967940563
sub-01,sub-01_10_1,Focus,-12.398593052566328,9,-0.07565788672846578
sub-01,sub-01_10_10,MW,-12.490287846546522,8,0.04999070448773109
sub-01,sub-01_10_11,Focus,-12.369960143925336,9,-0.07505918076782625
sub-01,sub-01_10_12,MW,-12.29254793294062,8,0.07564274591093482
sub-01,sub-01_10_13,Focus,-12.42871204354406,9,-0.07947630825308437
sub-01,sub-01_10_14,MW,-12.485165533448818,8,-0.08067468384771583
sub-01,sub-01_10_15,Focus,-12.398881767711233,9,-0.01567208451551857
sub-01,sub-01_10_16,MW,-12.346543614668583,8,-0.05425989329070827
sub-01,sub-01_10_17,Focus,-12.35361097173106,9,-0.07197140018401342
sub-01,sub-01_10_18,MW,-12.361097097943517,8,0.0022708235234804868
sub-01,sub-01_10_19,Focus,-12.553461590941966,9,0.06355852422422316
sub-01,sub-01_10_2,Focus,-12.409651022114625,9,-0.07365290703356872
sub-01,sub-01_10_20,Focus,-12.300569949753838,9,-0.12924334953311978
sub-01,sub-01_10_21,MW,-12.447890500110857,8,-0.06891461141479839
sub-01,sub-01_10_22,Focus,-12.376377217923162,9,-0.07491725387407411
sub-01,sub-01_10_23,MW,-12.449692274383409,8,-0.030820443178061995
sub-01,sub-01_10_24,Focus,-12.463795999245802,9,-0.03661115250436522
sub-01,sub-01_10_25,MW,-12.397981728333178,8,-0.06924362269712313
sub-01,sub-01_10_26,Focus,-12.336672848721278,9,0.04375150920926555
sub-01,sub-01_10_27,MW,-12.403468253065284,8,0.003272260786638883
sub-01,sub-01_10_28,Focus,-12.385776421499452,9,0.029216568838908465
sub-01,sub-01_10_29,MW,-12.501374011301184,8,0.05529444315643363
sub-01,sub-01_10_3,Focus,-12.455031051315958,9,0.012991292609116203
sub-01,sub-01_10_30,Focus,-12.454492103076616,9,-0.0664421924557319
sub-01,sub-01_10_31,MW,-12.508304848370475,8,0.022736900629191162
sub-01,sub-01_10_32,Focus,-12.279870135334347,9,-0.08520109012839835
sub-01,sub-01_10_33,MW,-12.400141158338783,8,0.0899046113259899
sub-01,sub-01_10_34,Focus,-12.346180767558158,9,-0.03570636527482525
sub-01,sub-01_10_35,MW,-12.52499469759357,8,-0.020927060888213347
sub-01,sub-01_10_36,Focus,-12.437547023032021,9,-0.02449538966943411
sub-01,sub-01_10_37,MW,-12.40805023168809,8,0.09942808275192089
sub-01,sub-01_10_38,Focus,-12.3929521868696,9,0.025769340879863555
sub-01,sub-01_10_39,MW,-12.252982642104433,8,0.023925768120663826
sub-01,sub-01_10_4,MW,-12.424936613549155,8,0.033039017104072865
sub-01,sub-01_10_40,Focus,-12.362060741436453,9,-0.0031031987968252782
sub-01,sub-01_10_41,MW,-12.380323505406082,8,-0.1087105670628608
