Subject,Session,Epoch,State,Epoch_Index,Window_Index,Time_s,N_EEG_Channels,Log10_Delta_Power,Log10_Theta_Power,Log10_Alpha_Power,Log10_Beta_Power,Log10_Gamma_Power
sub-01,1,sub-01_1_0,Focus,0,0,0.5,64,-11.374377834024184,-11.95965635610488,-12.10829667203671,-12.4368243639634,-13.109746683282133
sub-01,1,sub-01_1_0,Focus,0,1,1.0,64,-11.261873063029157,-12.05197065381681,-12.023780718392839,-12.565428035900986,-13.160852258788244
sub-01,1,sub-01_1_0,Focus,0,2,1.5,64,-11.062539878395695,-11.817221379112887,-12.09930902876452,-12.611195728840434,-13.115789300804751
sub-01,1,sub-01_1_0,Focus,0,3,2.0,64,-11.156071993338452,-11.931702635727468,-12.26487326619662,-12.621354214760217,-13.164124311045335
sub-01,1,sub-01_1_0,Focus,0,4,2.5,64,-11.37348478053016,-11.89380116503023,-12.306158815464428,-12.50309575493905,-13.110966604956033
sub-01,1,sub-01_1_0,Focus,0,5,3.0,64,-11.318716875439502,-11.980385852142971,-11.994293864959742,-12.346768968254231,-13.207161096647992
sub-01,1,sub-01_1_0,Focus,0,6,3.5,64,-11.218728894814525,-12.101810100985277,-12.125168041413644,-12.513507010731729,-13.161191852763356
sub-01,1,sub-01_1_0,Focus,0,7,4.0,64,-11.259676889146553,-11.994422439518742,-12.021505519943792,-12.572235017594425,-13.189765656572133
sub-01,1,sub-01_1_0,Focus,0,8,4.5,64,-11.370216701874158,-12.010487292641065,-12.156934667392049,-12.486671973827194,-13.132766904652343
sub-01,1,sub-01_1_1,Focus,1,0,0.5,64,-11.072166139130912,-11.82091281005972,-12.101068149650068,-12.608009614589355,-13.105276471272349
sub-01,1,sub-01_1_1,Focus,1,1,1.0,64,-11.172611963529507,-11.921741430159553,-12.272299021180615,-12.615097286381777,-13.175808795502466
sub-01,1,sub-01_1_1,Focus,1,2,1.5,64,-11.376524282712724,-11.900797031723192,-12.31455244856006,-12.489881443373138,-13.107744071530314
sub-01,1,sub-01_1_1,Focus,1,3,2.0,64,-11.32070541626061,-11.979326929262761,-11.972026774731463,-12.353541663278348,-13.204782348176096
sub-01,1,sub-01_1_1,Focus,1,4,2.5,64,-11.230449717551249,-12.095096697655755,-12.125756172453759,-12.517102106676592,-13.152925364621668
sub-01,1,sub-01_1_1,Focus,1,5,3.0,64,-11.249223676722433,-11.988184653791228,-12.01892269444173,-12.556525410550945,-13.186825053407945
sub-01,1,sub-01_1_1,Focus,1,6,3.5,64,-11.397677493004641,-12.035170666445172,-12.164338407523363,-12.483224206114572,-13.133603813517663
sub-01,1,sub-01_1_1,Focus,1,7,4.0,64,-11.420649013964933,-11.98922345504224,-12.242145299931016,-12.554276398040653,-13.166594317648283
sub-01,1,sub-01_1_1,Focus,1,8,4.5,64,-11.298554659194858,-11.931152489155346,-12.239754392760831,-12.521696151866898,-13.183109035772429
sub-01,1,sub-01_1_2,Focus,2,0,0.5,64,-11.37899907800256,-11.905398420821056,-12.319947658107472,-12.479318476591358,-13.106512088413112
sub-01,1,sub-01_1_2,Focus,2,1,1.0,64,-11.319481764291433,-11.978096512934938,-11.95814889356212,-12.358861556646612,-13.202655660911839
