Subject,Epoch,State,Mean_log10_power,N_Windows,Slope_log10_power_per_second
sub-01,sub-01_10_0,Focus,-12.089666716777067,9,-0.1008994901856646
sub-01,sub-01_10_1,Focus,-12.182262638937212,9,-0.09500711541659677
sub-01,sub-01_10_10,MW,-12.061295877556802,8,0.15610352266036678
sub-01,sub-01_10_11,Focus,-12.085547543063818,9,-0.06052918925115095
sub-01,sub-01_10_12,MW,-12.045573296145905,8,-0.022579748350686473
sub-01,sub-01_10_13,Focus,-12.274907326493903,9,0.0042097801373834655
sub-01,sub-01_10_14,MW,-11.971747928431874,8,-0.16861296248071547
sub-01,sub-01_10_15,Focus,-12.176154095346389,9,-0.007523410054470805
sub-01,sub-01_10_16,MW,-11.853119294110627,8,0.025102381952705723
sub-01,sub-01_10_17,Focus,-12.094022386379727,9,0.07703364055049938
sub-01,sub-01_10_18,MW,-11.634658215844524,8,0.034865204366239334
sub-01,sub-01_10_19,Focus,-12.108971300980786,9,0.1913026151319452
sub-01,sub-01_10_2,Focus,-12.23233291401023,9,-0.06430689287055932
sub-01,sub-01_10_20,Focus,-12.193587487156822,9,-0.04218182237242617
sub-01,sub-01_10_21,MW,-12.189567968388008,8,-0.08167611275989314
sub-01,sub-01_10_22,Focus,-12.17470116027666,9,-0.03288065754476843
sub-01,sub-01_10_23,MW,-11.956102955389113,8,-0.2168426194172491
sub-01,sub-01_10_24,Focus,-12.264596728103385,9,-0.05139438911023418
sub-01,sub-01_10_25,MW,-12.222414686309031,8,-0.1084662551249614
sub-01,sub-01_10_26,Focus,-12.268939150699314,9,0.03877428578567597
sub-01,sub-01_10_27,MW,-12.133909484285168,8,0.0823285012096835
sub-01,sub-01_10_28,Focus,-12.137672422748345,9,0.0026351380190590174
sub-01,sub-01_10_29,MW,-12.370066663693827,8,-0.04847738633992229
sub-01,sub-01_10_3,Focus,-12.317843677993784,9,0.04081598271565147
sub-01,sub-01_10_30,Focus,-12.304306766604226,9,-0.016050511238137694
sub-01,sub-01_10_31,MW,-12.163381583414125,8,0.19327286511724587
sub-01,sub-01_10_32,Focus,-12.108291022899952,9,-0.09226955912708201
sub-01,sub-01_10_33,MW,-11.92005420766067,8,0.11946352547153545
sub-01,sub-01_10_34,Focus,-12.254434208066538,9,-0.07060605289968214
sub-01,sub-01_10_35,MW,-12.082572005803758,8,-0.009395160465461216
sub-01,sub-01_10_36,Focus,-12.272176759653682,9,-0.012055102258099613
sub-01,sub-01_10_37,MW,-11.882090286007749,8,0.2562473697746932
sub-01,sub-01_10_38,Focus,-12.028824062557455,9,0.10843206178508928
sub-01,sub-01_10_39,MW,-12.026654646759997,8,0.04986080990273551
sub-01,sub-01_10_4,MW,-12.078748133053477,8,0.07972403780667615
sub-01,sub-01_10_40,Focus,-12.273374564202474,9,-0.01400307822203983
sub-01,sub-01_10_41,MW,-12.001164239884607,8,-0.09173092940867116
sub-01,sub-01_10_42,Focus,-12.278535371047566,9,-0.012941052894043088
sub-01,sub-01_10_43,MW,-11.838077396395484,8,0.035094061292716916
sub-01,sub-01_10_44,Focus,-11.952468793947796,9,-0.0976898075587068
sub-01,sub-01_10_45,MW,-12.132361634282542,8,-0.04316321849617659
sub-01,sub-01_10_46,Focus,-12.158001722375865,9,-0.04427082134197475
sub-01,sub-01_10_47,MW,-12.064026810588052,8,-0.06370998936401716
sub-01,sub-01_10_48,Focus,-12.240526099379837,9,-0.022909478459123618
sub-01,sub-01_10_49,MW,-12.166013602097685,8,-0.0597902583539491
sub-01,sub-01_10_5,Focus,-12.282087587166616,9,-0.07603643697272393
sub-01,sub-01_10_50,Focus,-12.253758039603499,9,0.061377560143304685
sub-01,sub-01_10_51,MW,-12.196510252522447,8,-0.04985546146639145
sub-01,sub-01_10_52,Focus,-12.185302941545196,9,-0.005967669941181724
sub-01,sub-01_10_53,MW,-12.173332916525307,8,-0.05272006416033899
sub-01,sub-01_10_54,Focus,-12.051751006042672,9,0.015864645692906465
sub-01,sub-01_10_55,MW,-12.190882273995397,8,-0.007092283600900459
sub-01,sub-01_10_56,Focus,-12.208484514859549,9,-0.11772066866598106
sub-01,sub-01_10_57,MW,-12.083350212306463,8,0.037993255684585864
sub-01,sub-01_10_58,Focus,-12.25403617071334,9,0.01731177802960959
sub-01,sub-01_10_59,MW,-12.091111268120343,8,-0.029551073964865924
sub-01,sub-01_10_6,MW,-12.052788110063684,8,0.048245052633453536
sub-01,sub-01_10_60,Focus,-12.244219277431384,9,-0.09088866283540233
