Subject,Epoch,State,Mean_log10_power,N_Windows,Slope_log10_power_per_second
sub-01,sub-01_10_0,Focus,-11.161433937462604,19,4.164474232813002e-06
sub-01,sub-01_10_1,Focus,-11.181474932797911,19,-0.005792530623670727
sub-01,sub-01_10_10,MW,-11.149921246652248,19,0.04050639416783561
sub-01,sub-01_10_11,Focus,-11.205440039641378,19,-0.04021772970019088
sub-01,sub-01_10_12,MW,-10.884017900024476,19,0.005806778378569262
sub-01,sub-01_10_13,Focus,-11.139557113511104,19,-0.004823681097304021
sub-01,sub-01_10_14,MW,-11.083116956947089,19,0.009232302625910249
sub-01,sub-01_10_15,Focus,-11.245612654480167,19,0.02786232069433164
sub-01,sub-01_10_16,MW,-11.186087464491127,19,-0.01124703571194867
sub-01,sub-01_10_17,Focus,-11.247474407328605,19,-0.014093656477834523
sub-01,sub-01_10_18,MW,-11.176070073702315,19,-0.026859140200192876
sub-01,sub-01_10_19,Focus,-10.669926968308669,19,-0.007682171009243192
sub-01,sub-01_10_2,Focus,-11.156461507041817,19,0.0009682919153397155
sub-01,sub-01_10_20,Focus,-11.244154827560793,19,0.019438214859453736
sub-01,sub-01_10_21,MW,-11.189803286466006,19,-0.006042662578254141
sub-01,sub-01_10_22,Focus,-11.019758134465638,19,0.006901844747335825
sub-01,sub-01_10_23,MW,-11.14886863374572,19,-0.013670920711541096
sub-01,sub-01_10_24,Focus,-11.352003461189634,19,0.014516004941783412
sub-01,sub-01_10_25,MW,-11.068795114540304,19,-0.01995814863777023
sub-01,sub-01_10_26,Focus,-11.116810407817235,19,0.018211261406429386
sub-01,sub-01_10_27,MW,-11.220520997223463,19,-0.015031235718954225
sub-01,sub-01_10_28,MW,-10.80944880901697,19,0.02157710398698526
sub-01,sub-01_10_29,Focus,-10.840065414657388,19,-0.006632844258862093
sub-01,sub-01_10_3,MW,-11.125987754239976,19,0.008827895527524006
sub-01,sub-01_10_30,Focus,-11.157460967148337,19,0.002803318719249438
sub-01,sub-01_10_31,MW,-11.066535740845707,19,-0.0682629705400581
sub-01,sub-01_10_32,Focus,-11.064301984660652,19,0.0420019141196987
sub-01,sub-01_10_33,MW,-11.056656029494915,19,-0.014168807260466088
sub-01,sub-01_10_34,Focus,-11.044040897857695,19,-0.022801357702897096
sub-01,sub-01_10_35,MW,-11.071491692940267,19,0.0026643216792638026
sub-01,sub-01_10_36,Focus,-11.282444088765027,19,0.02356600527299807
sub-01,sub-01_10_37,MW,-11.215600792550614,19,0.0006230309987947572
sub-01,sub-01_10_38,Focus,-11.188297900656245,19,0.011337294028141149
sub-01,sub-01_10_39,MW,-11.10725192357081,19,-0.0317466145278213
sub-01,sub-01_10_4,Focus,-11.125886319353121,19,0.009636754286701504
sub-01,sub-01_10_40,Focus,-11.031002722295272,19,-0.04334785575813559
sub-01,sub-01_10_41,MW,-11.135877243367725,19,-0.0015641070381988565
sub-01,sub-01_10_42,Focus,-11.190846765847638,19,0.03720697131163736
sub-01,sub-01_10_43,MW,-11.18459969403396,19,0.010971808823275737
sub-01,sub-01_10_44,Focus,-11.139755090477372,19,-0.02484523592551477
sub-01,sub-01_10_45,MW,-11.034262214003828,19,0.04807863839156421
sub-01,sub-01_10_46,Focus,-10.987910964655542,19,0.015991290709209453
sub-01,sub-01_10_47,MW,-11.028591459877594,19,0.07243343117447297
sub-01,sub-01_10_48,Focus,-10.909538606949381,19,-0.010291899111375378
sub-01,sub-01_10_49,MW,-11.054381663271132,19,-0.009879363418407493
sub-01,sub-01_10_5,Focus,-11.204493051253332,19,-0.019128104609369867
sub-01,sub-01_10_50,Focus,-11.065093219509567,19,0.007633190622677452
sub-01,sub-01_10_51,MW,-10.769947197232701,19,-0.04821985999832678
sub-01,sub-01_10_52,Focus,-11.017417007472604,19,0.003717325050269718
sub-01,sub-01_10_53,MW,-11.010017698543203,19,0.024748839627154576
sub-01,sub-01_10_54,Focus,-11.125692683107687,19,0.022044649038758524
sub-01,sub-01_10_55,MW,-10.96807839736649,19,0.06427312705908464
sub-01,sub-01_10_56,Focus,-11.185044642551418,19,0.08769968554788844
sub-01,sub-01_10_57,MW,-11.121086514458838,19,0.040138685737916124
sub-01,sub-01_10_58,Focus,-11.28039540385595,19,0.0472002160863495
sub-01,sub-01_10_59,MW,-11.043546063142513,19,0.015310414108321672
sub-01,sub-01_10_6,MW,-11.188394735841221,19,0.0023527648572170563
sub-01,sub-01_10_60,Focus,-11.25496821417427,19,-0.03149871575863354
sub-01,sub-01_10_61,MW,-11.016790441550413,19,-0.009909809632445013
sub-01,sub-01_10_62,Focus,-9.63633397447638,19,-0.024373064613186803
sub-01,sub-01_10_7,Focus,-11.167817500777577,19,0.0002701323474018243
sub-01,sub-01_10_8,MW,-11.234527118261047,19,-0.015775974742572814
sub-01,sub-01_10_9,Focus,-11.179126991495256,19,-0.006211342643197054
sub-01,sub-01_11_0,Focus,-11.107409293608484,19,-0.02278276171942942
sub-01,sub-01_11_1,Focus,-11.091047211234564,19,-0.04499306429464918
sub-01,sub-01_11_10,Focus,-11.002064028856482,19,-0.030484471013397286
sub-01,sub-01_11_11,MW,-10.944089160781413,19,0.02939826643829074
sub-01,sub-01_11_12,Focus,-11.029398944025532,19,0.057504673292331825
sub-01,sub-01_11_13,MW,-10.74495234572206,19,0.021043019278470628
sub-01,sub-01_11_14,Focus,-10.986185613935442,19,0.021425106797909994
sub-01,sub-01_11_15,MW,-10.724562547976152,19,-0.03203106103881966
sub-01,sub-01_11_16,Focus,-11.272030634537888,19,-0.05350061648126422
sub-01,sub-01_11_17,Focus,-11.230371839092513,19,-0.005942137381699308
sub-01,sub-01_11_18,MW,-10.846804579564212,19,0.04940833866755855
sub-01,sub-01_11_19,Focus,-10.889571194764764,19,0.05573672192973342
sub-01,sub-01_11_2,Focus,-11.170288932836614,19,-0.007655532648112145
sub-01,sub-01_11_20,Focus,-11.079755333476438,19,0.002390284972598911
sub-01,sub-01_11_21,MW,-10.88791814759911,19,-0.00047916928157904523
sub-01,sub-01_11_22,Focus,-10.924813504106963,19,0.007275460680337391
sub-01,sub-01_11_23,MW,-10.899784387766136,19,0.029830932208546133
sub-01,sub-01_11_24,Focus,-11.164176214904288,19,-0.006840231115766474
sub-01,sub-01_11_25,MW,-11.011312455490225,19,0.047078276361455805
sub-01,sub-01_11_26,Focus,-11.101038520469011,19,-0.0024814881195968667
sub-01,sub-01_11_27,MW,-10.704775949775634,19,0.07393552750167862
sub-01,sub-01_11_28,Focus,-11.046942359263623,19,0.0006731053453961065
sub-01,sub-01_11_29,MW,-10.861743931384563,19,-0.02313081075794975
sub-01,sub-01_11_3,MW,-11.120473899686056,19,0.009767498841209093
sub-01,sub-01_11_30,Focus,-11.112216774152442,19,-0.043367206940438115
sub-01,sub-01_11_31,MW,-10.840750536925093,19,0.05515251459529993
sub-01,sub-01_11_32,Focus,-11.024337535632782,19,0.03529734675874201
sub-01,sub-01_11_33,MW,-10.861354463458843,19,0.00962112660658083
sub-01,sub-01_11_34,Focus,-11.091379974601638,19,0.06048145877763417
sub-01,sub-01_11_35,MW,-10.969689955073857,19,0.054240551790930014
sub-01,sub-01_11_36,Focus,-11.17834295189195,19,0.04696640478168056
sub-01,sub-01_11_37,MW,-10.804107066548895,19,0.0398983598714245
sub-01,sub-01_11_38,MW,-10.956645296548105,19,0.06698356747276896
sub-01,sub-01_11_39,Focus,-10.956611389686602,19,0.06687207775502574
sub-01,sub-01_11_4,Focus,-11.029375050995826,19,-0.016915584543031246
sub-01,sub-01_11_40,Focus,-10.860971243332278,19,0.12002348760070733
sub-01,sub-01_11_41,MW,-10.902712908905041,19,-0.03802473398019476
sub-01,sub-01_11_42,Focus,-11.139769482952085,19,0.006835253446137742
sub-01,sub-01_11_43,MW,-10.70025890127656,19,0.03844045050205897
sub-01,sub-01_11_44,Focus,-11.205492437945773,19,0.04478789553426541
sub-01,sub-01_11_45,MW,-10.900445978120947,19,0.010651884842044853
sub-01,sub-01_11_46,Focus,-11.283907545053793,19,0.010185233948052217
