Subject,Epoch,State,Mean_log10_power,N_Windows,Slope_log10_power_per_second
sub-01,sub-01_10_0,Focus,-13.256716844567295,9,-0.006397536390310192
sub-01,sub-01_10_1,Focus,-13.261641369883684,9,-0.0044226283385448905
sub-01,sub-01_10_10,MW,-13.280760375956774,8,-0.012116546580232604
sub-01,sub-01_10_11,Focus,-13.237165872756426,9,-0.026818371207586702
sub-01,sub-01_10_12,MW,-13.244899052665167,8,0.0012928368438812573
sub-01,sub-01_10_13,Focus,-13.269880612752903,9,-0.016578591810290557
sub-01,sub-01_10_14,MW,-13.255342984853606,8,-0.00679303092294518
sub-01,sub-01_10_15,Focus,-13.326683496562005,9,0.002453473343866543
sub-01,sub-01_10_16,MW,-13.296898886370514,8,-0.008082964555146373
sub-01,sub-01_10_17,Focus,-13.290078659497157,9,-0.020821163785821925
sub-01,sub-01_10_18,MW,-13.25760797171294,8,-0.03177901008219664
sub-01,sub-01_10_19,Focus,-13.204242625492135,9,0.009924666175737114
sub-01,sub-01_10_2,Focus,-13.25230800544815,9,0.007178066503792616
sub-01,sub-01_10_20,Focus,-13.241050218911857,9,-0.06314030149847533
sub-01,sub-01_10_21,MW,-13.281437364214966,8,-0.020169395377744006
sub-01,sub-01_10_22,Focus,-13.274932527979393,9,-0.042927016805741305
sub-01,sub-01_10_23,MW,-13.272004202199717,8,0.0033060429124032067
sub-01,sub-01_10_24,Focus,-13.263305033720707,9,-0.023741415999160527
sub-01,sub-01_10_25,MW,-13.250319849730143,8,-0.029528439679651963
sub-01,sub-01_10_26,Focus,-13.30255104204684,9,-0.011378059596347672
sub-01,sub-01_10_27,MW,-13.259154006877697,8,0.007237027735364351
sub-01,sub-01_10_28,Focus,-13.26995982404479,9,-0.00449489867722806
sub-01,sub-01_10_29,MW,-13.299260320641823,8,0.02103512763769926
sub-01,sub-01_10_3,Focus,-13.258617517696097,9,-0.00425341873709579
sub-01,sub-01_10_30,Focus,-13.326453524704839,9,-0.03394635639934701
sub-01,sub-01_10_31,MW,-13.353120664183974,8,-0.0033435137908525976
sub-01,sub-01_10_32,Focus,-13.337774619900484,9,-0.02753113539150006
sub-01,sub-01_10_33,MW,-13.333244522076317,8,0.030758730068404683
sub-01,sub-01_10_34,Focus,-13.313091787520882,9,-0.042564559517038414
sub-01,sub-01_10_35,MW,-13.364838808965304,8,-0.02054070615166959
sub-01,sub-01_10_36,Focus,-13.338496560768979,9,0.010767562855056333
sub-01,sub-01_10_37,MW,-13.28778245058302,8,0.03199706716741044
sub-01,sub-01_10_38,Focus,-13.302737373314422,9,-0.008903236673409283
sub-01,sub-01_10_39,MW,-13.350246122093386,8,-0.015861171893994924
sub-01,sub-01_10_4,MW,-13.259500650377468,8,-0.009873652864450102
sub-01,sub-01_10_40,Focus,-13.319633496290827,9,-0.03450616374549306
sub-01,sub-01_10_41,MW,-13.309281777509586,8,-0.012591223332741592
sub-01,sub-01_10_42,Focus,-13.345346144850481,9,0.0034061163532770975
sub-01,sub-01_10_43,MW,-13.303165554160548,8,0.011767282970244026
sub-01,sub-01_10_44,Focus,-13.329704485694595,9,-0.011786817042212808
sub-01,sub-01_10_45,MW,-13.294370380656881,8,0.010001193120747364
sub-01,sub-01_10_46,Focus,-13.362542046065501,9,-0.0003057255068221598
sub-01,sub-01_10_47,MW,-13.248622197021954,8,-0.009072333969177181
sub-01,sub-01_10_48,Focus,-13.349619729050978,9,-0.02543611602521624
sub-01,sub-01_10_49,MW,-13.304432717116235,8,-0.023028798743363922
