Feature,Importance
Beta_abs__C3,0.005059194742743993
Alpha_mean_env__Pz,0.003142642090493427
Alpha_mean_env__O1,0.0027677784606312253
Alpha_mean_env__PO3,0.0027576525978610673
Alpha_mean_env__CPz,0.002697904759565498
Alpha_mean_env__CP1,0.002655012566465029
Beta_abs__C1,0.002329139645345804
Alpha_abs__CP1,0.002230392439596489
Alpha_abs__CPz,0.0022194991937039034
Alpha_abs__PO3,0.0021890194674270024
Gamma_abs__FC1,0.0021742603053985553
Alpha_abs__O1,0.0021259829192046393
Beta_abs__FCz,0.0020891781108398396
Beta_abs__CP3,0.002077814659859424
Alpha_abs__Pz,0.0020770860620332996
Alpha_mean_env__PO4,0.002028803663119564
Beta_abs__FC3,0.00201690483413781
Alpha_sync__C3,0.0019964838449943925
Gamma_abs__F1,0.001957417452447416
Alpha_mean_env__CP6,0.0019098418413804193
Beta_abs__FC2,0.0018930278615280937
Alpha_mean_env__Oz,0.001873822716928982
Alpha_var_env__PO3,0.001873246709923632
Alpha_mean_env__CP2,0.0018595696331943229
Alpha_var_env__O1,0.0018449744830328749
Gamma_abs__AFz,0.0018180487233540059
Alpha_mean_env__FT8,0.0018171617734250335
Beta_abs__CP4,0.0018170453527760941
Beta_abs__FC1,0.0018146550719612305
Alpha_mean_env__C2,0.0018029077202712733
Gamma_abs__Fz,0.0017934158868163311
Alpha_mean_env__C4,0.0017513151347569326
Gamma_abs__AF3,0.0017499042796352156
Alpha_mean_env__P1,0.0017285121173382415
Alpha_abs__O2,0.0017245417577163302
Beta_abs__C6,0.0017090368661778464
Alpha_var_env__Pz,0.0016948549504443467
Gamma_abs__Fp1,0.001683603865428521
Alpha_var_env__CPz,0.0016692280985733218
Beta_abs__Fz,0.0016570757545756392
Alpha_mean_env__O2,0.0016565938306636503
Beta_abs__C5,0.0016524229276117049
Beta_abs__FC4,0.0016469898662851686
Gamma_abs__FCz,0.0016267034653353787
Alpha_abs__P1,0.0016153650814388252
Beta_abs__F4,0.0016033962070128238
Alpha_mean_env__T8,0.0015990649297904895
Beta_abs__C2,0.0015915369107685018
Beta_abs__C4,0.0015854310501082136
Alpha_abs__CP2,0.0015845108127523415
Gamma_abs__FC4,0.0015828660399628276
Gamma_abs__C4,0.0015798278855555581
Beta_abs__Cz,0.001578608414819065
Beta_abs__F2,0.0015709903039818705
Gamma_abs__TP8,0.0015642180490136215
Beta_abs__FC6,0.0015614114843155126
Alpha_abs__C4,0.0015430108338165655
Beta_abs__AFz,0.0015403696823112474
Alpha_mean_env__FC6,0.0015179343281974868
Alpha_mean_env__P2,0.0015166953818280696
Alpha_mean_env__PO7,0.0015126722922807474
Gamma_abs__FT8,0.0015115368665862131
Beta_abs__Fp2,0.001507594315365644
Beta_abs__AF4,0.0014858320607085045
Gamma_abs__T8,0.0014844201642054081
Alpha_var_env__CP1,0.0014820556470333274
Beta_abs__CP2,0.0014757914807344724
Gamma_abs__C3,0.0014710296750089437
Alpha_var_env__PO4,0.0014694684151116521
Alpha_mean_env__Cz,0.0014458326823942238
Alpha_abs__T8,0.0014352125745434768
Alpha_abs__P2,0.0014313749482974128
Gamma_abs__F3,0.001428535842866085
Alpha_sync__CP3,0.0014271771249405856
Alpha_mean_env__TP8,0.0014264777898748118
Beta_abs__F1,0.0014144144199146314
Alpha_mean_env__CP4,0.0014081193007238362
Alpha_mean_env__FC3,0.0014079849267053719
Alpha_sync__C5,0.0013977284662510213
Alpha_var_env__P1,0.0013960121964205303
Alpha_mean_env__P7,0.0013906587216824964
Alpha_mean_env__P8,0.0013879594229553479
Alpha_abs__PO7,0.0013872385015661188
Beta_abs__TP8,0.0013868472393869975
Gamma_abs__FC2,0.0013731102425037617
Beta_abs__Fpz,0.0013722480398582362
Gamma_abs__C6,0.0013696484259275751
Alpha_abs__PO4,0.0013673611019279154
Gamma_abs__FC3,0.001359273630716093
Alpha_mean_env__POz,0.0013573801405306707
Beta_abs__AF3,0.001352499917548984
Alpha_abs__C1,0.0013505023688166222
Beta_abs__P2,0.001349748675103419
Beta_abs__AF8,0.0013424534909925996
Alpha_mean_env__C6,0.0013420926481104286
Gamma_abs__C1,0.0013378357740305477
Gamma_abs__F4,0.0013326158320092
Alpha_sync__F1,0.0013251270611798712
Alpha_abs__Oz,0.0013178023051629956
Alpha_abs__CP6,0.0013150276292464456
Alpha_abs__C6,0.0013143736745803401
Alpha_var_env__PO7,0.0013075475607541521
Gamma_abs__F6,0.001300573476459448
Alpha_mean_env__P4,0.0012978961937907504
Alpha_abs__C2,0.0012965342185580014
Alpha_abs__TP8,0.0012925007536428845
Alpha_var_env__CP2,0.001291709490763799
Gamma_abs__C2,0.0012898473762356065
Alpha_mean_env__P6,0.0012878115702303183
Alpha_abs__CP4,0.0012868285932911112
Alpha_sync__FC3,0.0012821512883517715
Alpha_mean_env__FCz,0.0012766393318904684
Alpha_sync__CP4,0.0012669490087708689
Beta_abs__Fp1,0.00126600642836406
Alpha_mean_env__F8,0.001265825112105532
Alpha_sync__Fz,0.0012631777189473095
Alpha_sync__AF8,0.00125417740942508
Alpha_var_env__CP6,0.0012492677607422308
Gamma_abs__P4,0.0012473858479329306
Gamma_abs__AF8,0.0012429994279227526
Alpha_mean_env__C1,0.001242256226030988
Alpha_mean_env__FC1,0.001236698906494039
Beta_abs__CP1,0.0012355810236635788
Gamma_abs__Cz,0.001235078627304511
Alpha_sync__AF3,0.001233959055662231
Beta_abs__CPz,0.0012298001153406572
Beta_abs__F6,0.0012228872942440844
Alpha_mean_env__P5,0.0012221558981011908
Alpha_mean_env__AF4,0.0012173282016016797
Beta_rel__C3,0.0012146615592498779
Alpha_abs__FT8,0.001208920689935028
Alpha_sync__FC1,0.001207443046837073
Gamma_abs__F2,0.0012037801147879157
Beta_abs__CP5,0.0011990201024154093
Beta_abs__P8,0.0011956781254251544
Alpha_sync__Fpz,0.0011933362473134864
Alpha_abs__FC3,0.0011912974369252417
Alpha_abs__POz,0.0011898998841178886
Alpha_sync__C1,0.0011863555223317677
Alpha_var_env__FC6,0.0011857212096374648
Alpha_mean_env__Fz,0.0011856895777621393
Alpha_var_env__C6,0.0011799375291447118
Alpha_abs__P6,0.0011779297484191507
Alpha_abs__F1,0.0011755819508259312
Gamma_abs__FC6,0.0011749723701148203
Alpha_mean_env__PO8,0.0011738357142619435
Gamma_abs__O2,0.0011733901508477395
Beta_abs__P4,0.0011670370175890375
Gamma_abs__CP3,0.0011651059131507606
Gamma_abs__TP7,0.0011644879438585456
Gamma_abs__AF4,0.0011632355944557293
Alpha_sync__CP1,0.0011615196561531986
Alpha_abs__P4,0.0011613417313406599
Beta_abs__CP6,0.0011584642395664488
Alpha_abs__P7,0.0011528923475606447
Alpha_sync__F2,0.0011447267537432666
Beta_abs__FC5,0.0011442122983847053
Alpha_var_env__FT8,0.0011431944216486502
Alpha_abs__FC6,0.0011417759817383588
Alpha_sync__C2,0.0011390885377454232
Beta_abs__Iz,0.001137645440040109
Alpha_var_env__P6,0.0011335738413261293
Alpha_abs__Cz,0.0011309685533587364
Alpha_abs__FC4,0.0011286337741847085
Alpha_sync__CP6,0.0011265000827556835
Alpha_sync__FC5,0.0011262978062600625
Alpha_sync__PO3,0.0011254177753973935
Gamma_abs__Fpz,0.0011247328053846266
Beta_abs__P6,0.0011232845314241276
Alpha_mean_env__FC2,0.0011214979023003518
