Feature,Importance,Feature family
Pz_Alpha_Mean,0.012324940013678606,Oscillatory-envelope dynamics
CP1_Alpha_Mean,0.010882009931464025,Oscillatory-envelope dynamics
Pz_Alpha_Var,0.009735177463085276,Oscillatory-envelope dynamics
P1_Alpha_Mean,0.009692018246238446,Oscillatory-envelope dynamics
C4_Alpha_Mean,0.009364483582867678,Oscillatory-envelope dynamics
FC1_Alpha_Mean,0.00935692186656656,Oscillatory-envelope dynamics
FC5_Alpha_Mean,0.009259218497684074,Oscillatory-envelope dynamics
FC3_Alpha_Mean,0.009230603722189156,Oscillatory-envelope dynamics
FC4_Alpha_Mean,0.009218014710262642,Oscillatory-envelope dynamics
C1_Alpha_Mean,0.009163262400192228,Oscillatory-envelope dynamics
F8_Alpha_Mean,0.009054316346124096,Oscillatory-envelope dynamics
Fz_Alpha_Mean,0.00904158442266739,Oscillatory-envelope dynamics
O1_Alpha_Mean,0.008738098482944589,Oscillatory-envelope dynamics
F1_Alpha_Mean,0.008717136802892714,Oscillatory-envelope dynamics
AF3_Alpha_Mean,0.008543774134177836,Oscillatory-envelope dynamics
AFz_Alpha_Mean,0.008329179089391243,Oscillatory-envelope dynamics
Pz_Alpha_Rel,0.00804964302646947,Band-power features
CP1_Alpha_Rel,0.007579158717911566,Band-power features
CPz_Alpha_Rel,0.007208375847578014,Band-power features
P2_Alpha_Rel,0.00708057516382247,Band-power features
CPz_Alpha_Mean,0.006923943021721723,Oscillatory-envelope dynamics
PO7_Alpha_Mean,0.0066010353185946575,Oscillatory-envelope dynamics
PO4_Alpha_Rel,0.006445320444422303,Band-power features
Fp1_HjorthMobility,0.006414469737229732,Hjorth features
POz_Alpha_Rel,0.006385157539736023,Band-power features
P4_Alpha_Rel,0.006372637923879476,Band-power features
AF8_RMS,0.006282551278607663,Time-domain statistics
C4_Alpha_Rel,0.006258878955978444,Band-power features
O1_Alpha_Rel,0.006257692228847964,Band-power features
PO3_Alpha_Rel,0.006231748219776018,Band-power features
CP4_Alpha_Rel,0.00621239492895295,Band-power features
Fp2_HjorthMobility,0.006206698660015976,Hjorth features
PO3_Alpha_Mean,0.006191728479426774,Oscillatory-envelope dynamics
Fp2_RMS,0.006095703236568912,Time-domain statistics
Oz_Alpha_Mean,0.006079478297488547,Oscillatory-envelope dynamics
AF7_RMS,0.006068437573793988,Time-domain statistics
Fp1_RMS,0.006044468269906082,Time-domain statistics
F8_RMS,0.005968875235445347,Time-domain statistics
PO3_Alpha_Var,0.00596622593281078,Oscillatory-envelope dynamics
AF7_Beta_Rel,0.0059203532148905166,Band-power features
P1_Alpha_Rel,0.005910967261050357,Band-power features
Fp1_SpectralEntropy,0.005910761729013036,Entropy and complexity
AF7_HjorthMobility,0.0059025355886033835,Hjorth features
C3_Beta_Rel,0.0058863932105064996,Band-power features
CP2_Alpha_Mean,0.005784670486631868,Oscillatory-envelope dynamics
P5_Alpha_Rel,0.005776138243982471,Band-power features
Fp1_Beta_Rel,0.005770556054281213,Band-power features
P6_Alpha_Rel,0.005752546055216939,Band-power features
AF7_SpectralEntropy,0.005733734982416827,Entropy and complexity
Cz_Alpha_Rel,0.0057225253885899606,Band-power features
Fp1_HjorthComplexity,0.0057094719827232385,Hjorth features
CP2_Alpha_Rel,0.005678718761579034,Band-power features
CP1_Beta_Rel,0.005618260831335493,Band-power features
FT8_RMS,0.005584875629160126,Time-domain statistics
P2_Alpha_Mean,0.005560517228847314,Oscillatory-envelope dynamics
FC2_Alpha_Rel,0.00553810320818617,Band-power features
F6_RMS,0.0054891916796059766,Time-domain statistics
C1_Beta_Rel,0.005463505899786974,Band-power features
F2_RMS,0.005444788020153463,Time-domain statistics
Fp2_Beta_Rel,0.005423397647283148,Band-power features
Fp2_SpectralEntropy,0.005367721357505649,Entropy and complexity
FCz_Alpha_Rel,0.005356416670821644,Band-power features
Oz_Alpha_Rel,0.005339324839975004,Band-power features
C2_Alpha_Rel,0.005324826625558358,Band-power features
Fpz_RMS,0.005311156827541196,Time-domain statistics
AF4_RMS,0.005307147570272572,Time-domain statistics
CP4_Alpha_Mean,0.005292003441776271,Oscillatory-envelope dynamics
FC2_RMS,0.0052734547175465095,Time-domain statistics
AF3_RMS,0.005221093895048454,Time-domain statistics
Pz_Alpha_Abs,0.005215257345039442,Band-power features
AF8_Beta_Rel,0.005189624629684409,Band-power features
AF7_HjorthComplexity,0.0051769726042866,Hjorth features
PO4_Alpha_Mean,0.005172878054728156,Oscillatory-envelope dynamics
F8_HjorthComplexity,0.005166042847765015,Hjorth features
C2_Alpha_Mean,0.005156334698261244,Oscillatory-envelope dynamics
C6_Alpha_Rel,0.005146483642446393,Band-power features
O2_Alpha_Mean,0.005091217733055167,Oscillatory-envelope dynamics
FCz_RMS,0.005088909781981838,Time-domain statistics
C1_Alpha_Rel,0.005088315033502206,Band-power features
Iz_Alpha_Mean,0.005084168579683993,Oscillatory-envelope dynamics
AF8_SpectralEntropy,0.005069741491870163,Entropy and complexity
AF8_HjorthComplexity,0.005055221581617866,Hjorth features
